"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",52.1,"ON"
"11/1/2019 0:15",58.6,"ON"
"11/1/2019 0:30",69.6,"ON"
"11/1/2019 0:45",85.9,"ON"
"11/1/2019 1:00",88.3,"ON"
"11/1/2019 1:15",93.6,"ON"
"11/1/2019 1:30",86.1,"ON"
"11/1/2019 1:45",81.9,"ON"
"11/1/2019 2:00",89.1,"ON"
"11/1/2019 2:15",98.8,"ON"
"11/1/2019 2:30",97.5,"ON"
"11/1/2019 2:45",106.9,"ON"
"11/1/2019 3:00",118.4,"ON"
"11/1/2019 3:15",120.9,"ON"
"11/1/2019 3:30",132.5,"ON"
"11/1/2019 3:45",130.1,"ON"
"11/1/2019 4:00",121.6,"ON"
"11/1/2019 4:15",126,"ON"
"11/1/2019 4:30",131.9,"ON"
"11/1/2019 4:45",134.9,"ON"
"11/1/2019 5:00",131.3,"ON"
"11/1/2019 5:15",112.6,"ON"
"11/1/2019 5:30",117.7,"ON"
"11/1/2019 5:45",126.6,"ON"
"11/1/2019 6:00",135.5,"ON"
"11/1/2019 6:15",132.5,"ON"
"11/1/2019 6:30",136.7,"ON"
"11/1/2019 6:45",140.1,"ON"
"11/1/2019 7:00",142,"ON"
"11/1/2019 7:15",144.4,"ON"
"11/1/2019 7:30",145.4,"ON"
"11/1/2019 7:45",140.9,"ON"
"11/1/2019 8:00",142.5,"ON"
"11/1/2019 8:15",142.3,"ON"
"11/1/2019 8:30",139.9,"ON"
"11/1/2019 8:45",132.8,"ON"
"11/1/2019 9:00",131.1,"ON"
"11/1/2019 9:15",133.4,"ON"
"11/1/2019 9:30",131.3,"ON"
"11/1/2019 9:45",116.4,"ON"
"11/1/2019 10:00",98.5,"ON"
"11/1/2019 10:15",91.8,"ON"
"11/1/2019 10:30",90.7,"ON"
"11/1/2019 10:45",92.4,"ON"
"11/1/2019 11:00",106.6,"ON"
"11/1/2019 11:15",95.6,"ON"
"11/1/2019 11:30",87.1,"ON"
"11/1/2019 11:45",80.4,"ON"
"11/1/2019 12:00",83.9,"ON"
"11/1/2019 12:15",79.8,"ON"
"11/1/2019 12:30",75.4,"ON"
"11/1/2019 12:45",63.9,"ON"
"11/1/2019 13:00",72.3,"ON"
"11/1/2019 13:15",79.6,"ON"
"11/1/2019 13:30",69.2,"ON"
"11/1/2019 13:45",58.3,"ON"
"11/1/2019 14:00",51.7,"ON"
"11/1/2019 14:15",59.2,"ON"
"11/1/2019 14:30",49.9,"ON"
"11/1/2019 14:45",36,"ON"
"11/1/2019 15:00",21.3,"ON"
"11/1/2019 15:15",13.9,"ON"
"11/1/2019 15:30",20.7,"ON"
"11/1/2019 15:45",17.5,"ON"
"11/1/2019 16:00",11.5,"ON"
"11/1/2019 16:15",17,"ON"
"11/1/2019 16:30",13.5,"ON"
"11/1/2019 16:45",13.6,"ON"
"11/1/2019 17:00",12.3,"ON"
"11/1/2019 17:15",8.4,"ON"
"11/1/2019 17:30",6.8,"ON"
"11/1/2019 17:45",5.9,"ON"
"11/1/2019 18:00",4.4,"ON"
"11/1/2019 18:15",0.1,"ON"
"11/1/2019 18:30",0.1,"ON"
"11/1/2019 18:45",4.3,"ON"
"11/1/2019 19:00",4.6,"ON"
"11/1/2019 19:15",5.9,"ON"
"11/1/2019 19:30",8,"ON"
"11/1/2019 19:45",9.5,"ON"
"11/1/2019 20:00",11.5,"ON"
"11/1/2019 20:15",11,"ON"
"11/1/2019 20:30",3.1,"ON"
"11/1/2019 20:45",78.4,"ON"
"11/1/2019 21:00",79.8,"ON"
"11/1/2019 21:15",76.7,"ON"
"11/1/2019 21:30",60.6,"ON"
"11/1/2019 21:45",76.5,"ON"
"11/1/2019 22:00",81.2,"ON"
"11/1/2019 22:15",80.2,"ON"
"11/1/2019 22:30",73.6,"ON"
"11/1/2019 22:45",73.5,"ON"
"11/1/2019 23:00",77.3,"ON"
"11/1/2019 23:15",70.5,"ON"
"11/1/2019 23:30",73.3,"ON"
"11/1/2019 23:45",87.8,"ON"
"11/2/2019 0:00",109.6,"ON"
