"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",91.9,"ON"
"11/1/2019 0:15",92.1,"ON"
"11/1/2019 0:30",92.8,"ON"
"11/1/2019 0:45",92.6,"ON"
"11/1/2019 1:00",92,"ON"
"11/1/2019 1:15",90.1,"ON"
"11/1/2019 1:30",90.4,"ON"
"11/1/2019 1:45",90.4,"ON"
"11/1/2019 2:00",88.5,"ON"
"11/1/2019 2:15",90.2,"ON"
"11/1/2019 2:30",89.2,"ON"
"11/1/2019 2:45",88.5,"ON"
"11/1/2019 3:00",83.9,"ON"
"11/1/2019 3:15",87.3,"ON"
"11/1/2019 3:30",84,"ON"
"11/1/2019 3:45",85.2,"ON"
"11/1/2019 4:00",91.7,"ON"
"11/1/2019 4:15",92.9,"ON"
"11/1/2019 4:30",94.5,"ON"
"11/1/2019 4:45",92.9,"ON"
"11/1/2019 5:00",93.3,"ON"
"11/1/2019 5:15",94.3,"ON"
"11/1/2019 5:30",94.4,"ON"
"11/1/2019 5:45",87.8,"ON"
"11/1/2019 6:00",89.7,"ON"
"11/1/2019 6:15",86.2,"ON"
"11/1/2019 6:30",83.5,"ON"
"11/1/2019 6:45",86.8,"ON"
"11/1/2019 7:00",90.2,"ON"
"11/1/2019 7:15",91,"ON"
"11/1/2019 7:30",93.1,"ON"
"11/1/2019 7:45",92,"ON"
"11/1/2019 8:00",88.5,"ON"
"11/1/2019 8:15",93,"ON"
"11/1/2019 8:30",93.8,"ON"
"11/1/2019 8:45",92.1,"ON"
"11/1/2019 9:00",88.8,"ON"
"11/1/2019 9:15",63.6,"ON"
"11/1/2019 9:30",51.3,"ON"
"11/1/2019 9:45",47.5,"ON"
"11/1/2019 10:00",35.5,"ON"
"11/1/2019 10:15",31,"ON"
"11/1/2019 10:30",20,"ON"
"11/1/2019 10:45",17.8,"ON"
"11/1/2019 11:00",13.2,"ON"
"11/1/2019 11:15",13.1,"ON"
"11/1/2019 11:30",23.8,"ON"
"11/1/2019 11:45",42.1,"ON"
"11/1/2019 12:00",41.7,"ON"
"11/1/2019 12:15",67.1,"ON"
"11/1/2019 12:30",65.2,"ON"
"11/1/2019 12:45",81.7,"ON"
"11/1/2019 13:00",83.3,"ON"
"11/1/2019 13:15",88.1,"ON"
"11/1/2019 13:30",90.7,"ON"
"11/1/2019 13:45",91.6,"ON"
"11/1/2019 14:00",92.9,"ON"
"11/1/2019 14:15",94.9,"ON"
"11/1/2019 14:30",94.5,"ON"
"11/1/2019 14:45",94.2,"ON"
"11/1/2019 15:00",95.1,"ON"
"11/1/2019 15:15",94,"ON"
"11/1/2019 15:30",93.2,"ON"
"11/1/2019 15:45",94.6,"ON"
"11/1/2019 16:00",92.9,"ON"
"11/1/2019 16:15",91.8,"ON"
"11/1/2019 16:30",92.2,"ON"
"11/1/2019 16:45",93.2,"ON"
"11/1/2019 17:00",92.9,"ON"
"11/1/2019 17:15",94.7,"ON"
"11/1/2019 17:30",92.6,"ON"
"11/1/2019 17:45",89.1,"ON"
"11/1/2019 18:00",86.4,"ON"
"11/1/2019 18:15",84,"ON"
"11/1/2019 18:30",80.6,"ON"
"11/1/2019 18:45",74.5,"ON"
"11/1/2019 19:00",77.4,"ON"
"11/1/2019 19:15",74.6,"ON"
"11/1/2019 19:30",74.4,"ON"
"11/1/2019 19:45",75.3,"ON"
"11/1/2019 20:00",73.3,"ON"
"11/1/2019 20:15",74.1,"ON"
"11/1/2019 20:30",77.9,"ON"
"11/1/2019 20:45",74.1,"ON"
"11/1/2019 21:00",76.3,"ON"
"11/1/2019 21:15",78.3,"ON"
"11/1/2019 21:30",81.1,"ON"
