SCED.Time.Stamp,HSL,Status
2019-11-01 00:00:00,92.35,ON
2019-11-01 01:00:00,90.725,ON
2019-11-01 02:00:00,89.1,ON
2019-11-01 03:00:00,85.1,ON
2019-11-01 04:00:00,93.0,ON
2019-11-01 05:00:00,92.45,ON
2019-11-01 06:00:00,86.55,ON
2019-11-01 07:00:00,91.57499999999999,ON
2019-11-01 08:00:00,91.85,ON
2019-11-01 09:00:00,62.8,ON
2019-11-01 10:00:00,26.075,ON
2019-11-01 11:00:00,23.049999999999997,ON
2019-11-01 12:00:00,63.925,ON
2019-11-01 13:00:00,88.42499999999998,ON
2019-11-01 14:00:00,94.125,ON
2019-11-01 15:00:00,94.225,ON
2019-11-01 16:00:00,92.52499999999999,ON
2019-11-01 17:00:00,92.32500000000002,ON
2019-11-01 18:00:00,81.375,ON
2019-11-01 19:00:00,75.425,ON
2019-11-01 20:00:00,74.85,ON
2019-11-01 21:00:00,78.475,ON
2019-11-01 22:00:00,68.04999999999998,ON
2019-11-01 23:00:00,64.1,ON
2019-11-02 00:00:00,68.39999999999999,ON
2019-11-02 01:00:00,50.175,ON
2019-11-02 02:00:00,31.750000000000004,ON
2019-11-02 03:00:00,23.949999999999996,ON
2019-11-02 04:00:00,10.775,ON
2019-11-02 05:00:00,4.675000000000001,ON
2019-11-02 06:00:00,3.15,ON
2019-11-02 07:00:00,2.425,ON
2019-11-02 08:00:00,0.0,ON
2019-11-02 09:00:00,0.0,ON
2019-11-02 10:00:00,0.0,ON
2019-11-02 11:00:00,0.0,ON
2019-11-02 12:00:00,3.55,ON
2019-11-02 13:00:00,19.125,ON
2019-11-02 14:00:00,34.975,ON
2019-11-02 15:00:00,36.45,ON
2019-11-02 16:00:00,35.425,ON
2019-11-02 17:00:00,37.25,ON
2019-11-02 18:00:00,29.950000000000003,ON
2019-11-02 19:00:00,40.675,ON
2019-11-02 20:00:00,63.05,ON
2019-11-02 21:00:00,87.525,ON
2019-11-02 22:00:00,89.325,ON
2019-11-02 23:00:00,89.7,ON
2019-11-03 00:00:00,85.425,ON
2019-11-03 01:00:00,89.4,ON
2019-11-03 02:00:00,66.475,ON
2019-11-03 03:00:00,60.474999999999994,ON
2019-11-03 04:00:00,71.27499999999999,ON
2019-11-03 05:00:00,82.375,ON
2019-11-03 06:00:00,77.475,ON
2019-11-03 07:00:00,78.25,ON
2019-11-03 08:00:00,55.400000000000006,ON
2019-11-03 09:00:00,30.875,ON
2019-11-03 10:00:00,27.800000000000004,ON
2019-11-03 11:00:00,12.099999999999998,ON
2019-11-03 12:00:00,6.7250000000000005,ON
2019-11-03 13:00:00,3.5000000000000004,ON
2019-11-03 14:00:00,3.0250000000000004,ON
2019-11-03 15:00:00,0.725,ON
2019-11-03 16:00:00,0.05,ON
2019-11-03 17:00:00,0.0,ON
2019-11-03 18:00:00,1.675,ON
2019-11-03 19:00:00,7.825,ON
2019-11-03 20:00:00,9.45,ON
2019-11-03 21:00:00,4.425,ON
2019-11-03 22:00:00,9.975,ON
2019-11-03 23:00:00,4.4,ON
2019-11-04 00:00:00,41.0,ON
2019-11-04 01:00:00,44.25,ON
2019-11-04 02:00:00,32.775,ON
2019-11-04 03:00:00,62.125,ON
2019-11-04 04:00:00,55.575,ON
2019-11-04 05:00:00,22.125,ON
2019-11-04 06:00:00,39.775,ON
2019-11-04 07:00:00,41.125,ON
2019-11-04 08:00:00,33.5,ON
2019-11-04 09:00:00,6.0,ON
2019-11-04 10:00:00,5.775,ON
2019-11-04 11:00:00,5.775,ON
2019-11-04 12:00:00,4.8,ON
2019-11-04 13:00:00,2.9,ON
2019-11-04 14:00:00,0.775,ON
2019-11-04 15:00:00,2.925,ON
2019-11-04 16:00:00,12.0,ON
2019-11-04 17:00:00,20.599999999999998,ON
2019-11-04 18:00:00,33.3,ON
2019-11-04 19:00:00,54.875,ON
2019-11-04 20:00:00,59.675,ON
2019-11-04 21:00:00,55.525,ON
2019-11-04 22:00:00,64.85,ON
2019-11-04 23:00:00,52.425,ON
2019-11-05 00:00:00,32.2,ON
2019-11-05 01:00:00,22.0,ON
2019-11-05 02:00:00,26.875000000000004,ON
2019-11-05 03:00:00,24.199999999999996,ON
2019-11-05 04:00:00,19.725,ON
2019-11-05 05:00:00,8.925,ON
2019-11-05 06:00:00,3.5999999999999996,ON
2019-11-05 07:00:00,0.025,ON
2019-11-05 08:00:00,0.0,ON
2019-11-05 09:00:00,0.0,ON
2019-11-05 10:00:00,1.325,ON
2019-11-05 11:00:00,2.175,ON
2019-11-05 12:00:00,0.1,ON
2019-11-05 13:00:00,1.6,ON
2019-11-05 14:00:00,6.325,ON
2019-11-05 15:00:00,10.75,ON
2019-11-05 16:00:00,15.125,ON
2019-11-05 17:00:00,25.724999999999998,ON
2019-11-05 18:00:00,55.199999999999996,ON
2019-11-05 19:00:00,84.625,ON
2019-11-05 20:00:00,73.30000000000001,ON
2019-11-05 21:00:00,70.175,ON
2019-11-05 22:00:00,76.725,ON
2019-11-05 23:00:00,74.125,ON
2019-11-06 00:00:00,91.57499999999999,ON
2019-11-06 01:00:00,80.10000000000001,ON
2019-11-06 02:00:00,70.5,ON
2019-11-06 03:00:00,69.075,ON
2019-11-06 04:00:00,64.975,ON
2019-11-06 05:00:00,59.400000000000006,ON
2019-11-06 06:00:00,44.7,ON
2019-11-06 07:00:00,19.15,ON
2019-11-06 08:00:00,34.275,ON
2019-11-06 09:00:00,24.175,ON
2019-11-06 10:00:00,46.60000000000001,ON
2019-11-06 11:00:00,51.025,ON
2019-11-06 12:00:00,68.80000000000001,ON
2019-11-06 13:00:00,76.375,ON
2019-11-06 14:00:00,55.95,ON
2019-11-06 15:00:00,16.875,ON
2019-11-06 16:00:00,16.05,ON
2019-11-06 17:00:00,20.925,ON
2019-11-06 18:00:00,39.325,ON
2019-11-06 19:00:00,32.900000000000006,ON
2019-11-06 20:00:00,11.65,ON
2019-11-06 21:00:00,11.175,ON
2019-11-06 22:00:00,45.875,ON
2019-11-06 23:00:00,93.375,ON
2019-11-07 00:00:00,,ON
2019-11-07 01:00:00,,ON
2019-11-07 02:00:00,,ON
2019-11-07 03:00:00,,ON
2019-11-07 04:00:00,,ON
2019-11-07 05:00:00,,ON
2019-11-07 06:00:00,,ON
2019-11-07 07:00:00,,ON
2019-11-07 08:00:00,,ON
2019-11-07 09:00:00,,ON
2019-11-07 10:00:00,,ON
2019-11-07 11:00:00,,ON
2019-11-07 12:00:00,,ON
2019-11-07 13:00:00,,ON
2019-11-07 14:00:00,,ON
2019-11-07 15:00:00,,ON
2019-11-07 16:00:00,,ON
2019-11-07 17:00:00,,ON
2019-11-07 18:00:00,,ON
2019-11-07 19:00:00,,ON
2019-11-07 20:00:00,,ON
2019-11-07 21:00:00,,ON
2019-11-07 22:00:00,,ON
2019-11-07 23:00:00,,ON
2019-11-08 00:00:00,0.0,ON
2019-11-08 01:00:00,0.0,ON
2019-11-08 02:00:00,0.0,ON
2019-11-08 03:00:00,0.0,ON
2019-11-08 04:00:00,0.0,ON
2019-11-08 05:00:00,0.0,ON
2019-11-08 06:00:00,0.0,ON
2019-11-08 07:00:00,0.0,ON
2019-11-08 08:00:00,3.175,ON
2019-11-08 09:00:00,21.700000000000003,ON
2019-11-08 10:00:00,16.575,ON
2019-11-08 11:00:00,15.850000000000001,ON
2019-11-08 12:00:00,14.65,ON
2019-11-08 13:00:00,15.5,ON
2019-11-08 14:00:00,21.25,ON
2019-11-08 15:00:00,24.174999999999997,ON
2019-11-08 16:00:00,11.875,ON
2019-11-08 17:00:00,11.05,ON
2019-11-08 18:00:00,23.699999999999996,ON
2019-11-08 19:00:00,30.825000000000003,ON
2019-11-08 20:00:00,30.549999999999997,ON
2019-11-08 21:00:00,44.425,ON
2019-11-08 22:00:00,51.825,ON
2019-11-08 23:00:00,36.575,ON
2019-11-09 00:00:00,13.025,ON
2019-11-09 01:00:00,11.45,ON
2019-11-09 02:00:00,11.05,ON
2019-11-09 03:00:00,12.0,ON
2019-11-09 04:00:00,7.525,ON
2019-11-09 05:00:00,8.125,ON
2019-11-09 06:00:00,8.125,ON
2019-11-09 07:00:00,4.5249999999999995,ON
2019-11-09 08:00:00,3.175,ON
2019-11-09 09:00:00,0.35,ON
2019-11-09 10:00:00,0.0,ON
2019-11-09 11:00:00,0.0,ON
2019-11-09 12:00:00,0.0,ON
2019-11-09 13:00:00,2.9,ON
2019-11-09 14:00:00,9.45,ON
2019-11-09 15:00:00,14.3,ON
2019-11-09 16:00:00,18.475,ON
2019-11-09 17:00:00,18.075,ON
2019-11-09 18:00:00,21.6,ON
2019-11-09 19:00:00,31.95,ON
2019-11-09 20:00:00,44.6,ON
2019-11-09 21:00:00,54.449999999999996,ON
2019-11-09 22:00:00,43.925,ON
2019-11-09 23:00:00,60.325,ON
2019-11-10 00:00:00,61.5,ON
2019-11-10 01:00:00,78.525,ON
2019-11-10 02:00:00,79.575,ON
2019-11-10 03:00:00,84.32499999999999,ON
2019-11-10 04:00:00,71.125,ON
2019-11-10 05:00:00,81.325,ON
2019-11-10 06:00:00,90.475,ON
2019-11-10 07:00:00,88.525,ON
2019-11-10 08:00:00,86.975,ON
2019-11-10 09:00:00,70.19999999999999,ON
2019-11-10 10:00:00,28.174999999999997,ON
2019-11-10 11:00:00,19.35,ON
2019-11-10 12:00:00,20.75,ON
2019-11-10 13:00:00,14.85,ON
2019-11-10 14:00:00,16.575000000000003,ON
2019-11-10 15:00:00,21.075,ON
2019-11-10 16:00:00,14.149999999999999,ON
2019-11-10 17:00:00,4.2,ON
2019-11-10 18:00:00,2.0999999999999996,ON
2019-11-10 19:00:00,0.15,ON
2019-11-10 20:00:00,8.1,ON
2019-11-10 21:00:00,3.675,ON
2019-11-10 22:00:00,1.725,ON
2019-11-10 23:00:00,11.775,ON
2019-11-11 00:00:00,31.95,ON
2019-11-11 01:00:00,69.05,ON
2019-11-11 02:00:00,93.1,ON
2019-11-11 03:00:00,95.42500000000001,ON
2019-11-11 04:00:00,93.1,ON
2019-11-11 05:00:00,72.7,ON
2019-11-11 06:00:00,44.25,ON
2019-11-11 07:00:00,40.55,ON
2019-11-11 08:00:00,38.25,ON
2019-11-11 09:00:00,36.925000000000004,ON
2019-11-11 10:00:00,39.525000000000006,ON
2019-11-11 11:00:00,51.95,ON
2019-11-11 12:00:00,73.325,ON
2019-11-11 13:00:00,88.925,ON
2019-11-11 14:00:00,92.95,ON
2019-11-11 15:00:00,94.07500000000002,ON
2019-11-11 16:00:00,94.125,ON
2019-11-11 17:00:00,74.77499999999999,ON
2019-11-11 18:00:00,51.949999999999996,ON
2019-11-11 19:00:00,46.300000000000004,ON
2019-11-11 20:00:00,49.349999999999994,ON
2019-11-11 21:00:00,59.0,ON
2019-11-11 22:00:00,45.675,ON
2019-11-11 23:00:00,25.1,ON
2019-11-12 00:00:00,6.5,ON
2019-11-12 01:00:00,0.5,ON
2019-11-12 02:00:00,0.0,ON
2019-11-12 03:00:00,0.0,ON
2019-11-12 04:00:00,0.075,ON
2019-11-12 05:00:00,0.075,ON
2019-11-12 06:00:00,1.6749999999999998,ON
2019-11-12 07:00:00,6.925000000000001,ON
2019-11-12 08:00:00,11.075,ON
2019-11-12 09:00:00,7.375,ON
2019-11-12 10:00:00,7.025,ON
2019-11-12 11:00:00,10.675,ON
2019-11-12 12:00:00,17.675,ON
2019-11-12 13:00:00,24.575000000000003,ON
2019-11-12 14:00:00,50.574999999999996,ON
2019-11-12 15:00:00,57.2,ON
2019-11-12 16:00:00,55.675,ON
2019-11-12 17:00:00,50.45,ON
2019-11-12 18:00:00,77.825,ON
2019-11-12 19:00:00,89.15,ON
2019-11-12 20:00:00,83.05,ON
2019-11-12 21:00:00,88.7,ON
2019-11-12 22:00:00,89.97500000000001,ON
2019-11-12 23:00:00,91.00000000000001,ON
2019-11-13 00:00:00,91.64999999999999,ON
2019-11-13 01:00:00,79.025,ON
2019-11-13 02:00:00,80.15,ON
2019-11-13 03:00:00,89.9,ON
2019-11-13 04:00:00,93.42499999999998,ON
2019-11-13 05:00:00,95.05,ON
2019-11-13 06:00:00,94.92499999999998,ON
2019-11-13 07:00:00,93.35,ON
2019-11-13 08:00:00,91.55,ON
2019-11-13 09:00:00,79.0,ON
2019-11-13 10:00:00,73.65,ON
2019-11-13 11:00:00,41.77499999999999,ON
2019-11-13 12:00:00,12.2,ON
2019-11-13 13:00:00,5.625,ON
2019-11-13 14:00:00,39.7,ON
2019-11-13 15:00:00,75.625,ON
2019-11-13 16:00:00,91.30000000000001,ON
2019-11-13 17:00:00,87.75,ON
2019-11-13 18:00:00,79.225,ON
2019-11-13 19:00:00,81.075,ON
2019-11-13 20:00:00,87.02499999999999,ON
2019-11-13 21:00:00,86.35,ON
2019-11-13 22:00:00,76.2,ON
2019-11-13 23:00:00,51.74999999999999,ON
2019-11-14 00:00:00,67.675,ON
2019-11-14 01:00:00,80.35,ON
2019-11-14 02:00:00,66.125,ON
2019-11-14 03:00:00,55.85,ON
2019-11-14 04:00:00,40.825,ON
2019-11-14 05:00:00,25.475,ON
2019-11-14 06:00:00,19.799999999999997,ON
2019-11-14 07:00:00,25.3,ON
2019-11-14 08:00:00,15.325000000000001,ON
2019-11-14 09:00:00,6.1,ON
2019-11-14 10:00:00,14.524999999999999,ON
2019-11-14 11:00:00,12.375000000000002,ON
2019-11-14 12:00:00,9.675,ON
2019-11-14 13:00:00,4.9,ON
2019-11-14 14:00:00,0.6000000000000001,ON
2019-11-14 15:00:00,0.275,ON
2019-11-14 16:00:00,0.0,ON
2019-11-14 17:00:00,0.0,ON
2019-11-14 18:00:00,0.325,ON
2019-11-14 19:00:00,2.375,ON
2019-11-14 20:00:00,6.15,ON
2019-11-14 21:00:00,10.125,ON
2019-11-14 22:00:00,10.075,ON
2019-11-14 23:00:00,19.8,ON
2019-11-15 00:00:00,21.1,ON
2019-11-15 01:00:00,25.325000000000003,ON
2019-11-15 02:00:00,30.625,ON
2019-11-15 03:00:00,28.725,ON
2019-11-15 04:00:00,27.475,ON
2019-11-15 05:00:00,33.375,ON
2019-11-15 06:00:00,35.9,ON
2019-11-15 07:00:00,42.175000000000004,ON
2019-11-15 08:00:00,42.275000000000006,ON
2019-11-15 09:00:00,37.225,ON
2019-11-15 10:00:00,58.675,ON
2019-11-15 11:00:00,80.2,ON
2019-11-15 12:00:00,89.15,ON
2019-11-15 13:00:00,85.55000000000001,ON
2019-11-15 14:00:00,85.2,ON
2019-11-15 15:00:00,82.15,ON
2019-11-15 16:00:00,75.5,ON
2019-11-15 17:00:00,64.475,ON
2019-11-15 18:00:00,82.3,ON
2019-11-15 19:00:00,85.7,ON
2019-11-15 20:00:00,86.07499999999999,ON
2019-11-15 21:00:00,84.25,ON
2019-11-15 22:00:00,79.32499999999999,ON
2019-11-15 23:00:00,70.69999999999999,ON
2019-11-16 00:00:00,70.69999999999999,ON
2019-11-16 01:00:00,66.75,ON
2019-11-16 02:00:00,69.5,ON
