"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",37.5,"ON"
"11/1/2019 0:15",27.7,"ON"
"11/1/2019 0:30",28.6,"ON"
"11/1/2019 0:45",49.1,"ON"
"11/1/2019 1:00",59.6,"ON"
"11/1/2019 1:15",64,"ON"
"11/1/2019 1:30",68.3,"ON"
"11/1/2019 1:45",68.7,"ON"
"11/1/2019 2:00",68.4,"ON"
"11/1/2019 2:15",68,"ON"
"11/1/2019 2:30",69.5,"ON"
"11/1/2019 2:45",55.4,"ON"
"11/1/2019 3:00",60.1,"ON"
"11/1/2019 3:15",64.4,"ON"
"11/1/2019 3:30",61.9,"ON"
"11/1/2019 3:45",78.3,"ON"
"11/1/2019 4:00",79.6,"ON"
"11/1/2019 4:15",74.2,"ON"
"11/1/2019 4:30",73.9,"ON"
"11/1/2019 4:45",75,"ON"
"11/1/2019 5:00",79.4,"ON"
"11/1/2019 5:15",79.3,"ON"
"11/1/2019 5:30",79.6,"ON"
"11/1/2019 5:45",83.9,"ON"
"11/1/2019 6:00",90.4,"ON"
"11/1/2019 6:15",90.4,"ON"
"11/1/2019 6:30",90.3,"ON"
"11/1/2019 6:45",88.1,"ON"
"11/1/2019 7:00",87,"ON"
"11/1/2019 7:15",89.2,"ON"
"11/1/2019 7:30",89.7,"ON"
"11/1/2019 7:45",87.4,"ON"
"11/1/2019 8:00",82.1,"ON"
"11/1/2019 8:15",79.3,"ON"
"11/1/2019 8:30",77.4,"ON"
"11/1/2019 8:45",71.3,"ON"
"11/1/2019 9:00",63.2,"ON"
"11/1/2019 9:15",66.7,"ON"
"11/1/2019 9:30",61.2,"ON"
"11/1/2019 9:45",61.2,"ON"
"11/1/2019 10:00",66.4,"ON"
"11/1/2019 10:15",64.5,"ON"
"11/1/2019 10:30",54,"ON"
"11/1/2019 10:45",48.7,"ON"
"11/1/2019 11:00",46.1,"ON"
"11/1/2019 11:15",40.6,"ON"
"11/1/2019 11:30",44.3,"ON"
"11/1/2019 11:45",41.3,"ON"
"11/1/2019 12:00",41.7,"ON"
"11/1/2019 12:15",44.3,"ON"
"11/1/2019 12:30",38.4,"ON"
"11/1/2019 12:45",30.1,"ON"
"11/1/2019 13:00",34.9,"ON"
"11/1/2019 13:15",37.1,"ON"
"11/1/2019 13:30",35.7,"ON"
"11/1/2019 13:45",26.4,"ON"
"11/1/2019 14:00",19.1,"ON"
"11/1/2019 14:15",14.4,"ON"
"11/1/2019 14:30",15.6,"ON"
"11/1/2019 14:45",12.9,"ON"
"11/1/2019 15:00",8.1,"ON"
"11/1/2019 15:15",12,"ON"
"11/1/2019 15:30",15.4,"ON"
"11/1/2019 15:45",11.7,"ON"
"11/1/2019 16:00",13.4,"ON"
"11/1/2019 16:15",12.4,"ON"
"11/1/2019 16:30",4.6,"ON"
"11/1/2019 16:45",7.3,"ON"
"11/1/2019 17:00",3.6,"ON"
"11/1/2019 17:15",4.3,"ON"
"11/1/2019 17:30",4.5,"ON"
"11/1/2019 17:45",0,"ON"
"11/1/2019 18:00",0,"ON"
"11/1/2019 18:15",0,"ON"
"11/1/2019 18:30",0,"ON"
"11/1/2019 18:45",0,"ON"
"11/1/2019 19:00",0,"ON"
"11/1/2019 19:15",0,"ON"
"11/1/2019 19:30",0,"ON"
"11/1/2019 19:45",0,"ON"
"11/1/2019 20:00",75.5,"ON"
"11/1/2019 20:15",72.8,"ON"
"11/1/2019 20:30",73.7,"ON"
"11/1/2019 20:45",81.5,"ON"
"11/1/2019 21:00",82.8,"ON"
"11/1/2019 21:15",79.7,"ON"
"11/1/2019 21:30",68.2,"ON"
"11/1/2019 21:45",60.5,"ON"
"11/1/2019 22:00",68.7,"ON"
"11/1/2019 22:15",68.6,"ON"
"11/1/2019 22:30",69.2,"ON"
"11/1/2019 22:45",71.7,"ON"
"11/1/2019 23:00",67.6,"ON"
"11/1/2019 23:15",72.1,"ON"
"11/1/2019 23:30",77.3,"ON"
"11/1/2019 23:45",76.4,"ON"
"11/2/2019 0:00",72.5,"ON"
"11/2/2019 0:15",71.1,"ON"
"11/2/2019 0:30",65.3,"ON"
"11/2/2019 0:45",61.7,"ON"
"11/2/2019 1:00",59.1,"ON"
"11/2/2019 1:15",66.4,"ON"
"11/2/2019 1:30",76.1,"ON"
"11/2/2019 1:45",82,"ON"
"11/2/2019 2:00",81.2,"ON"
"11/2/2019 2:15",83.1,"ON"
"11/2/2019 2:30",77.6,"ON"
"11/2/2019 2:45",69.8,"ON"
"11/2/2019 3:00",64.1,"ON"
"11/2/2019 3:15",66.5,"ON"
"11/2/2019 3:30",69,"ON"
"11/2/2019 3:45",63.9,"ON"
"11/2/2019 4:00",66.8,"ON"
"11/2/2019 4:15",71,"ON"
"11/2/2019 4:30",78.5,"ON"
"11/2/2019 4:45",72.2,"ON"
"11/2/2019 5:00",66.7,"ON"
"11/2/2019 5:15",64.4,"ON"
"11/2/2019 5:30",66.6,"ON"
"11/2/2019 5:45",58.6,"ON"
"11/2/2019 6:00",51.7,"ON"
"11/2/2019 6:15",51.1,"ON"
"11/2/2019 6:30",50.3,"ON"
"11/2/2019 6:45",51.5,"ON"
"11/2/2019 7:00",38.1,"ON"
"11/2/2019 7:15",43.3,"ON"
"11/2/2019 7:30",47.3,"ON"
"11/2/2019 7:45",45,"ON"
"11/2/2019 8:00",55.5,"ON"
"11/2/2019 8:15",56.9,"ON"
"11/2/2019 8:30",47.7,"ON"
"11/2/2019 8:45",39.3,"ON"
"11/2/2019 9:00",27.9,"ON"
"11/2/2019 9:15",17.6,"ON"
"11/2/2019 9:30",13.8,"ON"
"11/2/2019 9:45",9.8,"ON"
"11/2/2019 10:00",13.9,"ON"
"11/2/2019 10:15",20.6,"ON"
"11/2/2019 10:30",28.9,"ON"
"11/2/2019 10:45",36.5,"ON"
"11/2/2019 11:00",41.6,"ON"
"11/2/2019 11:15",37.3,"ON"
"11/2/2019 11:30",34.1,"ON"
"11/2/2019 11:45",29.9,"ON"
"11/2/2019 12:00",23.9,"ON"
"11/2/2019 12:15",19.2,"ON"
"11/2/2019 12:30",14.3,"ON"
"11/2/2019 12:45",11.9,"ON"
"11/2/2019 13:00",5.5,"ON"
"11/2/2019 13:15",4,"ON"
"11/2/2019 13:30",1,"ON"
"11/2/2019 13:45",1.1,"ON"
"11/2/2019 14:00",0,"ON"
"11/2/2019 14:15",0,"ON"
"11/2/2019 14:30",0,"ON"
"11/2/2019 14:45",0,"ON"
"11/2/2019 15:00",0,"ON"
"11/2/2019 15:15",0,"ON"
"11/2/2019 15:30",0,"ON"
"11/2/2019 15:45",0,"ON"
"11/2/2019 16:00",0,"ON"
"11/2/2019 16:15",0,"ON"
"11/2/2019 16:30",0,"ON"
"11/2/2019 16:45",0,"ON"
"11/2/2019 17:00",0,"ON"
"11/2/2019 17:15",0,"ON"
"11/2/2019 17:30",0,"ON"
"11/2/2019 17:45",0,"ON"
"11/2/2019 18:00",0,"ON"
"11/2/2019 18:15",0,"ON"
"11/2/2019 18:30",0,"ON"
"11/2/2019 18:45",0,"ON"
"11/2/2019 19:00",0,"ON"
"11/2/2019 19:15",0,"ON"
"11/2/2019 19:30",0.2,"ON"
"11/2/2019 19:45",2.9,"ON"
"11/2/2019 20:00",5,"ON"
