"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",46.2,"ON"
"11/1/2019 0:15",46.2,"ON"
"11/1/2019 0:30",45.7,"ON"
"11/1/2019 0:45",51.7,"ON"
"11/1/2019 1:00",51.6,"ON"
"11/1/2019 1:15",51.7,"ON"
"11/1/2019 1:30",51.7,"ON"
"11/1/2019 1:45",51.7,"ON"
"11/1/2019 2:00",51.6,"ON"
"11/1/2019 2:15",51.6,"ON"
"11/1/2019 2:30",51.6,"ON"
"11/1/2019 2:45",50,"ON"
"11/1/2019 3:00",50.2,"ON"
"11/1/2019 3:15",51.6,"ON"
"11/1/2019 3:30",50.8,"ON"
"11/1/2019 3:45",51.1,"ON"
"11/1/2019 4:00",49.4,"ON"
"11/1/2019 4:15",51.7,"ON"
"11/1/2019 4:30",51.7,"ON"
"11/1/2019 4:45",51.5,"ON"
"11/1/2019 5:00",51.6,"ON"
"11/1/2019 5:15",51.6,"ON"
"11/1/2019 5:30",51.5,"ON"
"11/1/2019 5:45",51.5,"ON"
"11/1/2019 6:00",48.6,"ON"
"11/1/2019 6:15",48.3,"ON"
"11/1/2019 6:30",47.1,"ON"
"11/1/2019 6:45",43.8,"ON"
"11/1/2019 7:00",37.6,"ON"
"11/1/2019 7:15",35.9,"ON"
"11/1/2019 7:30",34.7,"ON"
"11/1/2019 7:45",29,"ON"
"11/1/2019 8:00",29.3,"ON"
"11/1/2019 8:15",32.6,"ON"
"11/1/2019 8:30",29.2,"ON"
"11/1/2019 8:45",28.8,"ON"
"11/1/2019 9:00",27.3,"ON"
"11/1/2019 9:15",26,"ON"
"11/1/2019 9:30",25.5,"ON"
"11/1/2019 9:45",22.1,"ON"
"11/1/2019 10:00",21.1,"ON"
"11/1/2019 10:15",19.1,"ON"
"11/1/2019 10:30",17.8,"ON"
"11/1/2019 10:45",15.5,"ON"
"11/1/2019 11:00",14,"ON"
"11/1/2019 11:15",17.1,"ON"
"11/1/2019 11:30",22.6,"ON"
"11/1/2019 11:45",19.9,"ON"
"11/1/2019 12:00",21,"ON"
"11/1/2019 12:15",22.7,"ON"
"11/1/2019 12:30",22.1,"ON"
"11/1/2019 12:45",19,"ON"
"11/1/2019 13:00",16.2,"ON"
"11/1/2019 13:15",14.5,"ON"
"11/1/2019 13:30",12.4,"ON"
"11/1/2019 13:45",10.9,"ON"
"11/1/2019 14:00",9.9,"ON"
"11/1/2019 14:15",8.7,"ON"
"11/1/2019 14:30",9.3,"ON"
"11/1/2019 14:45",10.4,"ON"
"11/1/2019 15:00",10.3,"ON"
"11/1/2019 15:15",7.5,"ON"
"11/1/2019 15:30",4.4,"ON"
"11/1/2019 15:45",3.1,"ON"
"11/1/2019 16:00",2.1,"ON"
"11/1/2019 16:15",1.4,"ON"
