"SCED.Time.Stamp","Curtailed Values","Status"
"2019-11-01 00:00:00",41.391259000025,"ON"
"2019-11-01 01:00:00",51.675,"ON"
"2019-11-01 02:00:00",51.2,"ON"
"2019-11-01 03:00:00",50.925,"ON"
"2019-11-01 04:00:00",51.075,"ON"
"2019-11-01 05:00:00",43.065623500075,"ON"
"2019-11-01 06:00:00",37.17679325005,"ON"
"2019-11-01 07:00:00",26.304637250075,"ON"
"2019-11-01 08:00:00",22.56015575005,"ON"
"2019-11-01 09:00:00",19.160217000075,"ON"
"2019-11-01 10:00:00",13.97509375005,"ON"
"2019-11-01 11:00:00",13.74986950005,"ON"
"2019-11-01 12:00:00",16.030264000075,"ON"
"2019-11-01 13:00:00",10.45721975005,"ON"
"2019-11-01 14:00:00",7.05935375005,"ON"
"2019-11-01 15:00:00",5.07946450005,"ON"
"2019-11-01 16:00:00",1.90829500005,"ON"
"2019-11-01 17:00:00",1.1608515,"ON"
"2019-11-01 18:00:00",3.79223425005,"ON"
"2019-11-01 19:00:00",14.286248250075,"ON"
"2019-11-01 20:00:00",28.127217000025,"ON"
"2019-11-01 21:00:00",39.60376775005,"ON"
"2019-11-01 22:00:00",32.78065725,"ON"
"2019-11-01 23:00:00",29.242863,"ON"
"2019-11-02 00:00:00",3.042681,"ON"
"2019-11-02 01:00:00",3.80301375005,"ON"
"2019-11-02 02:00:00",20.09411075,"ON"
"2019-11-02 03:00:00",21.29450525005,"ON"
"2019-11-02 04:00:00",4.175277250025,"ON"
"2019-11-02 05:00:00",7.750836750025,"ON"
"2019-11-02 06:00:00",5.182534500025,"ON"
"2019-11-02 07:00:00",3.436165500025,"ON"
"2019-11-02 08:00:00",3.895582250025,"ON"
"2019-11-02 09:00:00",2.124495250025,"ON"
"2019-11-02 10:00:00",0.4408095,"ON"
"2019-11-02 11:00:00",0.1,"ON"
"2019-11-02 12:00:00",0.1,"ON"
"2019-11-02 13:00:00",0.1,"ON"
"2019-11-02 14:00:00",0.1,"ON"
"2019-11-02 15:00:00",0.1,"ON"
"2019-11-02 16:00:00",0.1,"ON"
"2019-11-02 17:00:00",0.1,"ON"
"2019-11-02 18:00:00",0.1,"ON"
"2019-11-02 19:00:00",0.1,"ON"
"2019-11-02 20:00:00",1.205848750025,"ON"
"2019-11-02 21:00:00",8.587412000075,"ON"
"2019-11-02 22:00:00",16.24634100005,"ON"
"2019-11-02 23:00:00",24.05870300005,"ON"
"2019-11-03 00:00:00",26.43126950005,"ON"
"2019-11-03 01:00:00",29.14131412505,"ON"
"2019-11-03 02:00:00",28.27189925005,"ON"
"2019-11-03 03:00:00",27.796724250075,"ON"
"2019-11-03 04:00:00",28.0299407501,"ON"
"2019-11-03 05:00:00",27.983973250025,"ON"
"2019-11-03 06:00:00",25.890706750025,"ON"
"2019-11-03 07:00:00",26.46838075005,"ON"
"2019-11-03 08:00:00",26.80323175005,"ON"
"2019-11-03 09:00:00",25.407928250025,"ON"
"2019-11-03 10:00:00",24.847711,"ON"
"2019-11-03 11:00:00",20.04144275,"ON"
"2019-11-03 12:00:00",14.179905750025,"ON"
"2019-11-03 13:00:00",17.59570325005,"ON"
"2019-11-03 14:00:00",22.4690670001,"ON"
"2019-11-03 15:00:00",19.63635150005,"ON"
"2019-11-03 16:00:00",24.217683750075,"ON"
"2019-11-03 17:00:00",26.46654875005,"ON"
"2019-11-03 18:00:00",27.26355500005,"ON"
"2019-11-03 19:00:00",27.191545750025,"ON"
"2019-11-03 20:00:00",28.934504500025,"ON"
"2019-11-03 21:00:00",34.990592000025,"ON"
"2019-11-03 22:00:00",33.44316675,"ON"
"2019-11-03 23:00:00",32.722817000025,"ON"
"2019-11-04 00:00:00",32.48074050005,"ON"
"2019-11-04 01:00:00",23.767018000025,"ON"
"2019-11-04 02:00:00",13.94692750005,"ON"
"2019-11-04 03:00:00",16.6540082501,"ON"
"2019-11-04 04:00:00",19.79123600005,"ON"
"2019-11-04 05:00:00",21.599782000075,"ON"
"2019-11-04 06:00:00",21.609845000025,"ON"
"2019-11-04 07:00:00",19.10479225005,"ON"
"2019-11-04 08:00:00",11.702675500025,"ON"
"2019-11-04 09:00:00",5.557899500025,"ON"
"2019-11-04 10:00:00",7.248775750025,"ON"
"2019-11-04 11:00:00",10.04382325005,"ON"
"2019-11-04 12:00:00",11.016072500025,"ON"
"2019-11-04 13:00:00",7.250086000075,"ON"
"2019-11-04 14:00:00",6.152619000025,"ON"
"2019-11-04 15:00:00",5.12909125,"ON"
"2019-11-04 16:00:00",3.491710500025,"ON"
"2019-11-04 17:00:00",1.337585250025,"ON"
"2019-11-04 18:00:00",3.92529575005,"ON"
"2019-11-04 19:00:00",11.087623250025,"ON"
"2019-11-04 20:00:00",13.421856000075,"ON"
"2019-11-04 21:00:00",14.73595900005,"ON"
"2019-11-04 22:00:00",12.98995950005,"ON"
"2019-11-04 23:00:00",10.90116425005,"ON"
"2019-11-05 00:00:00",4.56858275005,"ON"
"2019-11-05 01:00:00",1.26061,"ON"
"2019-11-05 02:00:00",0.1,"ON"
"2019-11-05 03:00:00",0.1,"ON"
"2019-11-05 04:00:00",0.1,"ON"
"2019-11-05 05:00:00",0.1,"ON"
"2019-11-05 06:00:00",0.1,"ON"
"2019-11-05 07:00:00",0.1,"ON"
"2019-11-05 08:00:00",1.06881400005,"ON"
"2019-11-05 09:00:00",1.943328250025,"ON"
"2019-11-05 10:00:00",3.410089250025,"ON"
"2019-11-05 11:00:00",3.90361300005,"ON"
"2019-11-05 12:00:00",4.56546725005,"ON"
"2019-11-05 13:00:00",2.25293300005,"ON"
"2019-11-05 14:00:00",0.30922725,"ON"
"2019-11-05 15:00:00",0.1,"ON"
"2019-11-05 16:00:00",0.1,"ON"
"2019-11-05 17:00:00",0.1,"ON"
"2019-11-05 18:00:00",0.1,"ON"
"2019-11-05 19:00:00",1.117322000025,"ON"
"2019-11-05 20:00:00",4.40415325,"ON"
"2019-11-05 21:00:00",10.616883250025,"ON"
"2019-11-05 22:00:00",27.114881750025,"ON"
"2019-11-05 23:00:00",31.143125250025,"ON"
"2019-11-06 00:00:00",31.044946250025,"ON"
"2019-11-06 01:00:00",30.969642000025,"ON"
"2019-11-06 02:00:00",30.819788750025,"ON"
"2019-11-06 03:00:00",29.747477500075,"ON"
"2019-11-06 04:00:00",29.63989400005,"ON"
"2019-11-06 05:00:00",28.534498000075,"ON"
"2019-11-06 06:00:00",22.18129375005,"ON"
"2019-11-06 07:00:00",30.0100825,"ON"
"2019-11-06 08:00:00",28.972923250025,"ON"
"2019-11-06 09:00:00",30.00175975005,"ON"
"2019-11-06 10:00:00",33.81182,"ON"
"2019-11-06 11:00:00",38.51441275005,"ON"
"2019-11-06 12:00:00",37.075587000025,"ON"
"2019-11-06 13:00:00",30.525280750025,"ON"
"2019-11-06 14:00:00",30.94673100005,"ON"
"2019-11-06 15:00:00",25.787889000025,"ON"
"2019-11-06 16:00:00",23.31398175005,"ON"
"2019-11-06 17:00:00",24.423051500075,"ON"
"2019-11-06 18:00:00",25.63361675005,"ON"
"2019-11-06 19:00:00",25.262108500025,"ON"
"2019-11-06 20:00:00",24.761279750075,"ON"
"2019-11-06 21:00:00",26.35606325005,"ON"
"2019-11-06 22:00:00",27.481113500075,"ON"
"2019-11-06 23:00:00",14.439417750025,"ON"
"2019-11-07 00:00:00",-99999,"ON"
"2019-11-07 01:00:00",-99999,"ON"
"2019-11-07 02:00:00",-99999,"ON"
"2019-11-07 03:00:00",-99999,"ON"
"2019-11-07 04:00:00",-99999,"ON"
"2019-11-07 05:00:00",-99999,"ON"
"2019-11-07 06:00:00",-99999,"ON"
"2019-11-07 07:00:00",-99999,"ON"
"2019-11-07 08:00:00",-99999,"ON"
"2019-11-07 09:00:00",-99999,"ON"
"2019-11-07 10:00:00",-99999,"ON"
"2019-11-07 11:00:00",-99999,"ON"
"2019-11-07 12:00:00",-99999,"ON"
"2019-11-07 13:00:00",-99999,"ON"
"2019-11-07 14:00:00",-99999,"ON"
"2019-11-07 15:00:00",-99999,"ON"
"2019-11-07 16:00:00",-99999,"ON"
"2019-11-07 17:00:00",-99999,"ON"
"2019-11-07 18:00:00",-99999,"ON"
"2019-11-07 19:00:00",-99999,"ON"
"2019-11-07 20:00:00",-99999,"ON"
"2019-11-07 21:00:00",-99999,"ON"
"2019-11-07 22:00:00",-99999,"ON"
"2019-11-07 23:00:00",-99999,"ON"
"2019-11-08 00:00:00",6.1977255,"ON"
"2019-11-08 01:00:00",4.226496750025,"ON"
"2019-11-08 02:00:00",5.17133325005,"ON"
"2019-11-08 03:00:00",5.216796250025,"ON"
"2019-11-08 04:00:00",4.161773,"ON"
"2019-11-08 05:00:00",5.329343500075,"ON"
"2019-11-08 06:00:00",3.625248750025,"ON"
"2019-11-08 07:00:00",3.758306,"ON"
"2019-11-08 08:00:00",2.607874750075,"ON"
"2019-11-08 09:00:00",2.1690955,"ON"
"2019-11-08 10:00:00",0.1,"ON"
"2019-11-08 11:00:00",0.1,"ON"
"2019-11-08 12:00:00",0.1,"ON"
"2019-11-08 13:00:00",0.1,"ON"
"2019-11-08 14:00:00",0.1,"ON"
"2019-11-08 15:00:00",0.1,"ON"
"2019-11-08 16:00:00",0.1,"ON"
"2019-11-08 17:00:00",0.1,"ON"
"2019-11-08 18:00:00",0.1,"ON"
"2019-11-08 19:00:00",0.1,"ON"
"2019-11-08 20:00:00",0.16051525,"ON"
"2019-11-08 21:00:00",3.96068375,"ON"
"2019-11-08 22:00:00",4.963986500025,"ON"
"2019-11-08 23:00:00",4.502397000075,"ON"
"2019-11-09 00:00:00",5.292652250025,"ON"
"2019-11-09 01:00:00",8.359472750025,"ON"
"2019-11-09 02:00:00",1.985273250025,"ON"
"2019-11-09 03:00:00",0.1,"ON"
"2019-11-09 04:00:00",0.1,"ON"
"2019-11-09 05:00:00",0.1,"ON"
"2019-11-09 06:00:00",0.1,"ON"
"2019-11-09 07:00:00",0.1,"ON"
"2019-11-09 08:00:00",0.1,"ON"
"2019-11-09 09:00:00",0.1,"ON"
"2019-11-09 10:00:00",0.1,"ON"
"2019-11-09 11:00:00",0.1,"ON"
"2019-11-09 12:00:00",0.1,"ON"
"2019-11-09 13:00:00",0.1,"ON"
"2019-11-09 14:00:00",0.1,"ON"
"2019-11-09 15:00:00",0.1,"ON"
"2019-11-09 16:00:00",1.440257750075,"ON"
"2019-11-09 17:00:00",6.816316500075,"ON"
"2019-11-09 18:00:00",19.070989500075,"ON"
"2019-11-09 19:00:00",24.461503500075,"ON"
"2019-11-09 20:00:00",25.89549625005,"ON"
"2019-11-09 21:00:00",26.12930675005,"ON"
"2019-11-09 22:00:00",25.987510750075,"ON"
"2019-11-09 23:00:00",24.082116000025,"ON"
"2019-11-10 00:00:00",25.414315250025,"ON"
"2019-11-10 01:00:00",23.95040000005,"ON"
"2019-11-10 02:00:00",17.16757825005,"ON"
"2019-11-10 03:00:00",13.71220525,"ON"
"2019-11-10 04:00:00",15.43804100005,"ON"
"2019-11-10 05:00:00",15.49658800005,"ON"
"2019-11-10 06:00:00",14.77912875005,"ON"
"2019-11-10 07:00:00",13.277031500025,"ON"
"2019-11-10 08:00:00",12.61883350005,"ON"
"2019-11-10 09:00:00",7.680401250025,"ON"
"2019-11-10 10:00:00",7.303069750025,"ON"
"2019-11-10 11:00:00",6.207774750025,"ON"
"2019-11-10 12:00:00",2.54807700005,"ON"
"2019-11-10 13:00:00",3.47827475,"ON"
"2019-11-10 14:00:00",6.889304000025,"ON"
"2019-11-10 15:00:00",10.24676425005,"ON"
"2019-11-10 16:00:00",12.53145725005,"ON"
"2019-11-10 17:00:00",14.99770325005,"ON"
"2019-11-10 18:00:00",19.012004000075,"ON"
"2019-11-10 19:00:00",21.767344250075,"ON"
"2019-11-10 20:00:00",21.2175245,"ON"
"2019-11-10 21:00:00",22.09248075005,"ON"
"2019-11-10 22:00:00",21.08789250005,"ON"
"2019-11-10 23:00:00",21.46981250005,"ON"
"2019-11-11 00:00:00",10.04833700005,"ON"
"2019-11-11 01:00:00",5.92956225005,"ON"
"2019-11-11 02:00:00",6.95260550005,"ON"
"2019-11-11 03:00:00",6.32322425,"ON"
"2019-11-11 04:00:00",13.519952500025,"ON"
"2019-11-11 05:00:00",11.72161950005,"ON"
"2019-11-11 06:00:00",8.360186000025,"ON"
"2019-11-11 07:00:00",0.00570400002500002,"ON"
"2019-11-11 08:00:00",3.530502000025,"ON"
"2019-11-11 09:00:00",10.84258675005,"ON"
"2019-11-11 10:00:00",24.00005250005,"ON"
"2019-11-11 11:00:00",31.03662025,"ON"
"2019-11-11 12:00:00",32.647088250025,"ON"
"2019-11-11 13:00:00",32.388864750025,"ON"
"2019-11-11 14:00:00",34.771532500025,"ON"
"2019-11-11 15:00:00",32.11441900005,"ON"
"2019-11-11 16:00:00",28.498947750075,"ON"
"2019-11-11 17:00:00",23.674310750025,"ON"
