"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",5.7,"ON"
"11/1/2019 0:15",7.5,"ON"
"11/1/2019 0:30",6.7,"ON"
"11/1/2019 0:45",3.8,"ON"
"11/1/2019 1:00",4.1,"ON"
"11/1/2019 1:15",3.6,"ON"
"11/1/2019 1:30",2,"ON"
"11/1/2019 1:45",1.9,"ON"
"11/1/2019 2:00",3,"ON"
"11/1/2019 2:15",4.7,"ON"
"11/1/2019 2:30",4.3,"ON"
"11/1/2019 2:45",3.9,"ON"
"11/1/2019 3:00",4.8,"ON"
"11/1/2019 3:15",3.8,"ON"
"11/1/2019 3:30",3.6,"ON"
"11/1/2019 3:45",4.6,"ON"
"11/1/2019 4:00",2.5,"ON"
"11/1/2019 4:15",2.6,"ON"
"11/1/2019 4:30",2.9,"ON"
"11/1/2019 4:45",2.2,"ON"
"11/1/2019 5:00",3.4,"ON"
"11/1/2019 5:15",3,"ON"
"11/1/2019 5:30",2,"ON"
"11/1/2019 5:45",1.4,"ON"
"11/1/2019 6:00",2,"ON"
"11/1/2019 6:15",1.3,"ON"
"11/1/2019 6:30",0.8,"ON"
"11/1/2019 6:45",0.5,"ON"
"11/1/2019 7:00",1,"ON"
"11/1/2019 7:15",0.8,"ON"
"11/1/2019 7:30",1.2,"ON"
"11/1/2019 7:45",1.7,"ON"
"11/1/2019 8:00",1.4,"ON"
"11/1/2019 8:15",2.3,"ON"
"11/1/2019 8:30",1.7,"ON"
"11/1/2019 8:45",2.4,"ON"
"11/1/2019 9:00",3,"ON"
"11/1/2019 9:15",2.8,"ON"
"11/1/2019 9:30",3,"ON"
"11/1/2019 9:45",2.3,"ON"
"11/1/2019 10:00",1.3,"ON"
"11/1/2019 10:15",0.7,"ON"
"11/1/2019 10:30",0.1,"ON"
"11/1/2019 10:45",0.2,"ON"
"11/1/2019 11:00",0.1,"ON"
"11/1/2019 11:15",0.2,"ON"
"11/1/2019 11:30",0.9,"ON"
"11/1/2019 11:45",1,"ON"
"11/1/2019 12:00",0.7,"ON"
"11/1/2019 12:15",0.2,"ON"
"11/1/2019 12:30",1,"ON"
"11/1/2019 12:45",1,"ON"
"11/1/2019 13:00",0.3,"ON"
"11/1/2019 13:15",0.4,"ON"
"11/1/2019 13:30",0.4,"ON"
"11/1/2019 13:45",0.8,"ON"
"11/1/2019 14:00",0.6,"ON"
"11/1/2019 14:15",0.9,"ON"
"11/1/2019 14:30",0.6,"ON"
"11/1/2019 14:45",1.1,"ON"
"11/1/2019 15:00",1.3,"ON"
"11/1/2019 15:15",1.8,"ON"
"11/1/2019 15:30",2.5,"ON"
"11/1/2019 15:45",2,"ON"
"11/1/2019 16:00",2.4,"ON"
"11/1/2019 16:15",2.2,"ON"
"11/1/2019 16:30",2.3,"ON"
"11/1/2019 16:45",1.7,"ON"
"11/1/2019 17:00",3.2,"ON"
"11/1/2019 17:15",1.6,"ON"
"11/1/2019 17:30",2.9,"ON"
"11/1/2019 17:45",4.1,"ON"
"11/1/2019 18:00",3,"ON"
"11/1/2019 18:15",4,"ON"
"11/1/2019 18:30",2.9,"ON"
"11/1/2019 18:45",2.2,"ON"
"11/1/2019 19:00",1.2,"ON"
"11/1/2019 19:15",1,"ON"
"11/1/2019 19:30",0.4,"ON"
"11/1/2019 19:45",0.2,"ON"
"11/1/2019 20:00",0,"ON"
"11/1/2019 20:15",0.7,"ON"
"11/1/2019 20:30",14.7,"ON"
"11/1/2019 20:45",16.4,"ON"
"11/1/2019 21:00",19.1,"ON"
"11/1/2019 21:15",17.2,"ON"
"11/1/2019 21:30",17.2,"ON"
"11/1/2019 21:45",16.1,"ON"
