SCED.Time.Stamp,HSL,Status
2019-11-01 00:00:00,5.925,ON
2019-11-01 01:00:00,2.9,ON
2019-11-01 02:00:00,3.975,ON
2019-11-01 03:00:00,4.199999999999999,ON
2019-11-01 04:00:00,2.55,ON
2019-11-01 05:00:00,2.45,ON
2019-11-01 06:00:00,1.15,ON
2019-11-01 07:00:00,1.175,ON
2019-11-01 08:00:00,1.9499999999999997,ON
2019-11-01 09:00:00,2.7750000000000004,ON
2019-11-01 10:00:00,0.5750000000000001,ON
2019-11-01 11:00:00,0.55,ON
2019-11-01 12:00:00,0.725,ON
2019-11-01 13:00:00,0.47500000000000003,ON
2019-11-01 14:00:00,0.8,ON
2019-11-01 15:00:00,1.9,ON
2019-11-01 16:00:00,2.15,ON
2019-11-01 17:00:00,2.95,ON
2019-11-01 18:00:00,3.0250000000000004,ON
2019-11-01 19:00:00,0.7000000000000001,ON
2019-11-01 20:00:00,7.949999999999999,ON
2019-11-01 21:00:00,17.4,ON
2019-11-01 22:00:00,12.725,ON
2019-11-01 23:00:00,7.4,ON
2019-11-02 00:00:00,4.175,ON
2019-11-02 01:00:00,4.525,ON
2019-11-02 02:00:00,4.375,ON
2019-11-02 03:00:00,2.9,ON
2019-11-02 04:00:00,7.699999999999999,ON
2019-11-02 05:00:00,12.950000000000001,ON
2019-11-02 06:00:00,14.649999999999999,ON
2019-11-02 07:00:00,16.8,ON
2019-11-02 08:00:00,18.875,ON
2019-11-02 09:00:00,12.924999999999999,ON
2019-11-02 10:00:00,9.95,ON
2019-11-02 11:00:00,8.825,ON
2019-11-02 12:00:00,10.15,ON
2019-11-02 13:00:00,9.425,ON
2019-11-02 14:00:00,8.0,ON
2019-11-02 15:00:00,8.225,ON
2019-11-02 16:00:00,3.5250000000000004,ON
2019-11-02 17:00:00,4.3500000000000005,ON
2019-11-02 18:00:00,8.7,ON
2019-11-02 19:00:00,18.825,ON
2019-11-02 20:00:00,30.875,ON
2019-11-02 21:00:00,17.225,ON
2019-11-02 22:00:00,9.8,ON
2019-11-02 23:00:00,8.175,ON
2019-11-03 00:00:00,8.425,ON
2019-11-03 01:00:00,7.1,ON
2019-11-03 02:00:00,7.925,ON
2019-11-03 03:00:00,9.35,ON
2019-11-03 04:00:00,7.025,ON
2019-11-03 05:00:00,6.7,ON
2019-11-03 06:00:00,7.3500000000000005,ON
2019-11-03 07:00:00,6.699999999999999,ON
2019-11-03 08:00:00,5.075,ON
2019-11-03 09:00:00,2.275,ON
