"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",77.3,"ON"
"11/1/2019 0:15",78.3,"ON"
"11/1/2019 0:30",78.4,"ON"
"11/1/2019 0:45",77.2,"ON"
"11/1/2019 1:00",76.4,"ON"
"11/1/2019 1:15",76.4,"ON"
"11/1/2019 1:30",76.1,"ON"
"11/1/2019 1:45",75.8,"ON"
"11/1/2019 2:00",76.6,"ON"
"11/1/2019 2:15",76.6,"ON"
"11/1/2019 2:30",78,"ON"
"11/1/2019 2:45",82.8,"ON"
"11/1/2019 3:00",83,"ON"
"11/1/2019 3:15",82.5,"ON"
"11/1/2019 3:30",82.2,"ON"
"11/1/2019 3:45",81,"ON"
"11/1/2019 4:00",80.4,"ON"
"11/1/2019 4:15",79.5,"ON"
"11/1/2019 4:30",80.4,"ON"
"11/1/2019 4:45",79.5,"ON"
"11/1/2019 5:00",80.1,"ON"
"11/1/2019 5:15",80.4,"ON"
"11/1/2019 5:30",80,"ON"
"11/1/2019 5:45",79.9,"ON"
"11/1/2019 6:00",80,"ON"
"11/1/2019 6:15",82.5,"ON"
"11/1/2019 6:30",80.4,"ON"
"11/1/2019 6:45",82.9,"ON"
"11/1/2019 7:00",81.6,"ON"
"11/1/2019 7:15",83.1,"ON"
"11/1/2019 7:30",84.2,"ON"
"11/1/2019 7:45",88.2,"ON"
"11/1/2019 8:00",90.1,"ON"
"11/1/2019 8:15",90.2,"ON"
"11/1/2019 8:30",91.7,"ON"
"11/1/2019 8:45",91.4,"ON"
"11/1/2019 9:00",89.2,"ON"
"11/1/2019 9:15",95.2,"ON"
"11/1/2019 9:30",97.2,"ON"
"11/1/2019 9:45",97.5,"ON"
"11/1/2019 10:00",97.5,"ON"
"11/1/2019 10:15",99.9,"ON"
"11/1/2019 10:30",94.3,"ON"
"11/1/2019 10:45",92,"ON"
"11/1/2019 11:00",90.9,"ON"
"11/1/2019 11:15",78,"ON"
"11/1/2019 11:30",71.4,"ON"
"11/1/2019 11:45",68.4,"ON"
"11/1/2019 12:00",73.1,"ON"
"11/1/2019 12:15",68.6,"ON"
"11/1/2019 12:30",79,"ON"
"11/1/2019 12:45",76.2,"ON"
"11/1/2019 13:00",62.6,"ON"
"11/1/2019 13:15",63.8,"ON"
"11/1/2019 13:30",56.4,"ON"
"11/1/2019 13:45",44.2,"ON"
"11/1/2019 14:00",37.8,"ON"
"11/1/2019 14:15",41.2,"ON"
"11/1/2019 14:30",29,"ON"
"11/1/2019 14:45",30.1,"ON"
"11/1/2019 15:00",22.4,"ON"
"11/1/2019 15:15",28.4,"ON"
"11/1/2019 15:30",41.3,"ON"
"11/1/2019 15:45",56.5,"ON"
"11/1/2019 16:00",52.7,"ON"
"11/1/2019 16:15",50.3,"ON"
"11/1/2019 16:30",94,"ON"
"11/1/2019 16:45",102.6,"ON"
"11/1/2019 17:00",114.5,"ON"
"11/1/2019 17:15",119,"ON"
"11/1/2019 17:30",128.8,"ON"
"11/1/2019 17:45",127.1,"ON"
"11/1/2019 18:00",124.1,"ON"
"11/1/2019 18:15",116,"ON"
"11/1/2019 18:30",113.4,"ON"
"11/1/2019 18:45",107.6,"ON"
"11/1/2019 19:00",87.6,"ON"
"11/1/2019 19:15",79.2,"ON"
"11/1/2019 19:30",97.1,"ON"
"11/1/2019 19:45",108,"ON"
"11/1/2019 20:00",119.5,"ONREG"
"11/1/2019 20:15",118.6,"ONREG"
"11/1/2019 20:30",120.3,"ONREG"
"11/1/2019 20:45",123.7,"ONREG"
"11/1/2019 21:00",123,"ONREG"
"11/1/2019 21:15",136.2,"ONREG"
"11/1/2019 21:30",135.3,"ONREG"
"11/1/2019 21:45",125.7,"ONREG"
"11/1/2019 22:00",136.9,"ON"
"11/1/2019 22:15",137.1,"ON"
"11/1/2019 22:30",137.7,"ON"
"11/1/2019 22:45",137.7,"ON"
"11/1/2019 23:00",139.3,"ON"
"11/1/2019 23:15",140,"ON"
"11/1/2019 23:30",139.8,"ON"
"11/1/2019 23:45",136.9,"ON"
"11/2/2019 0:00",139.1,"ONREG"
"11/2/2019 0:15",133,"ONREG"
"11/2/2019 0:30",131.5,"ONREG"
"11/2/2019 0:45",128.6,"ONREG"
"11/2/2019 1:00",131.5,"ON"
"11/2/2019 1:15",137.3,"ON"
"11/2/2019 1:30",135.9,"ON"
"11/2/2019 1:45",136.3,"ON"
"11/2/2019 2:00",137.3,"ON"
"11/2/2019 2:15",136.1,"ON"
"11/2/2019 2:30",134.6,"ON"
"11/2/2019 2:45",136.4,"ON"
"11/2/2019 3:00",132.1,"ON"
"11/2/2019 3:15",127.9,"ON"
"11/2/2019 3:30",122.2,"ON"
"11/2/2019 3:45",121.1,"ON"
"11/2/2019 4:00",117,"ON"
"11/2/2019 4:15",110.9,"ON"
"11/2/2019 4:30",103.8,"ON"
"11/2/2019 4:45",101.3,"ON"
"11/2/2019 5:00",100.5,"ON"
"11/2/2019 5:15",102.9,"ON"
"11/2/2019 5:30",102.3,"ON"
"11/2/2019 5:45",99.1,"ON"
"11/2/2019 6:00",91.8,"ON"
"11/2/2019 6:15",79,"ON"
"11/2/2019 6:30",65.6,"ON"
"11/2/2019 6:45",56,"ON"
"11/2/2019 7:00",50.8,"ON"
"11/2/2019 7:15",47.1,"ON"
"11/2/2019 7:30",50,"ON"
"11/2/2019 7:45",53.5,"ON"
"11/2/2019 8:00",62.4,"ON"
"11/2/2019 8:15",52.4,"ON"
"11/2/2019 8:30",45.8,"ON"
"11/2/2019 8:45",46.2,"ON"
"11/2/2019 9:00",48.2,"ON"
"11/2/2019 9:15",40.1,"ON"
"11/2/2019 9:30",27.2,"ON"
"11/2/2019 9:45",21,"ON"
"11/2/2019 10:00",12.1,"ON"
"11/2/2019 10:15",10.1,"ON"
"11/2/2019 10:30",7.6,"ON"
"11/2/2019 10:45",5.1,"ON"
"11/2/2019 11:00",5.2,"ON"
"11/2/2019 11:15",2.7,"ON"
"11/2/2019 11:30",2.5,"ON"
"11/2/2019 11:45",0.3,"ON"
"11/2/2019 12:00",0,"ON"
"11/2/2019 12:15",0,"ON"
"11/2/2019 12:30",0,"ON"
"11/2/2019 12:45",0,"ON"
"11/2/2019 13:00",0,"ON"
"11/2/2019 13:15",0,"ON"
"11/2/2019 13:30",0,"ON"
"11/2/2019 13:45",0,"ON"
"11/2/2019 14:00",0,"ON"
"11/2/2019 14:15",0,"ON"
"11/2/2019 14:30",0,"ON"
"11/2/2019 14:45",0.8,"ON"
"11/2/2019 15:00",2.2,"ON"
"11/2/2019 15:15",3.7,"ON"
"11/2/2019 15:30",4.8,"ON"
"11/2/2019 15:45",10,"ON"
"11/2/2019 16:00",9.8,"ON"
"11/2/2019 16:15",13.8,"ON"
"11/2/2019 16:30",13.1,"ON"
"11/2/2019 16:45",13.1,"ON"
"11/2/2019 17:00",14,"ON"
"11/2/2019 17:15",14.7,"ON"
"11/2/2019 17:30",18.9,"ON"
"11/2/2019 17:45",19.8,"ON"
"11/2/2019 18:00",26.9,"ON"
"11/2/2019 18:15",24.7,"ON"
"11/2/2019 18:30",27.5,"ON"
"11/2/2019 18:45",27,"ON"
"11/2/2019 19:00",26.7,"ON"
"11/2/2019 19:15",29.6,"ON"
"11/2/2019 19:30",30,"ON"
"11/2/2019 19:45",29.3,"ON"
"11/2/2019 20:00",28.7,"ON"
"11/2/2019 20:15",32.3,"ON"
"11/2/2019 20:30",41.7,"ON"
"11/2/2019 20:45",53.4,"ON"
"11/2/2019 21:00",61.6,"ON"
"11/2/2019 21:15",79.4,"ON"
