SCED.Time.Stamp,HSL,Status
2019-11-01 00:00:00,77.8,ON
2019-11-01 01:00:00,76.175,ON
2019-11-01 02:00:00,78.5,ON
2019-11-01 03:00:00,82.175,ON
2019-11-01 04:00:00,79.95,ON
2019-11-01 05:00:00,80.1,ON
2019-11-01 06:00:00,81.45,ON
2019-11-01 07:00:00,84.27499999999999,ON
2019-11-01 08:00:00,90.85,ON
2019-11-01 09:00:00,94.775,ON
2019-11-01 10:00:00,95.925,ON
2019-11-01 11:00:00,77.17500000000001,ON
2019-11-01 12:00:00,74.225,ON
2019-11-01 13:00:00,56.75,ON
2019-11-01 14:00:00,34.525,ON
2019-11-01 15:00:00,37.15,ON
2019-11-01 16:00:00,74.9,ON
2019-11-01 17:00:00,122.35,ON
2019-11-01 18:00:00,115.275,ON
2019-11-01 19:00:00,92.975,ON
2019-11-01 20:00:00,120.52499999999999,ONREG
2019-11-01 21:00:00,130.05,ONREG
2019-11-01 22:00:00,137.35,ON
2019-11-01 23:00:00,139.0,ON
2019-11-02 00:00:00,133.05,ONREG
2019-11-02 01:00:00,135.25,ON
2019-11-02 02:00:00,136.1,ON
2019-11-02 03:00:00,125.82499999999999,ON
2019-11-02 04:00:00,108.25,ON
2019-11-02 05:00:00,101.19999999999999,ON
2019-11-02 06:00:00,73.1,ON
2019-11-02 07:00:00,50.35,ON
2019-11-02 08:00:00,51.7,ON
2019-11-02 09:00:00,34.125,ON
2019-11-02 10:00:00,8.725,ON
2019-11-02 11:00:00,2.6750000000000003,ON
2019-11-02 12:00:00,0.0,ON
2019-11-02 13:00:00,0.0,ON
2019-11-02 14:00:00,0.2,ON
2019-11-02 15:00:00,5.175,ON
2019-11-02 16:00:00,12.450000000000001,ON
2019-11-02 17:00:00,16.849999999999998,ON
2019-11-02 18:00:00,26.525,ON
2019-11-02 19:00:00,28.9,ON
2019-11-02 20:00:00,39.025,ON
2019-11-02 21:00:00,79.525,ON
2019-11-02 22:00:00,103.975,ON
2019-11-02 23:00:00,95.05,ON
2019-11-03 00:00:00,111.175,ONREG
2019-11-03 01:00:00,117.8,ON
2019-11-03 02:00:00,132.55,ON
2019-11-03 03:00:00,136.55,ON
2019-11-03 04:00:00,136.25,ON
2019-11-03 05:00:00,131.275,ONREG
2019-11-03 06:00:00,132.1,ONREG
2019-11-03 07:00:00,130.7,ONREG
2019-11-03 08:00:00,119.125,ONREG
2019-11-03 09:00:00,103.0,ONREG
2019-11-03 10:00:00,107.95000000000002,ONREG
2019-11-03 11:00:00,102.275,ONREG
2019-11-03 12:00:00,112.175,ON
2019-11-03 13:00:00,99.475,ON
2019-11-03 14:00:00,74.25,ON
2019-11-03 15:00:00,80.325,ON
2019-11-03 16:00:00,67.60000000000001,ON
2019-11-03 17:00:00,58.050000000000004,ON
2019-11-03 18:00:00,115.225,ON
2019-11-03 19:00:00,133.875,ON
