"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",47,"ON"
"11/1/2019 0:15",23.7,"ON"
"11/1/2019 0:30",41.7,"ON"
"11/1/2019 0:45",59.2,"ON"
"11/1/2019 1:00",63.9,"ON"
"11/1/2019 1:15",66,"ON"
"11/1/2019 1:30",67.9,"ON"
"11/1/2019 1:45",67.7,"ON"
"11/1/2019 2:00",69.5,"ON"
"11/1/2019 2:15",74.9,"ON"
"11/1/2019 2:30",75.9,"ON"
"11/1/2019 2:45",67.5,"ON"
"11/1/2019 3:00",80.4,"ON"
"11/1/2019 3:15",72.7,"ON"
"11/1/2019 3:30",79.6,"ON"
"11/1/2019 3:45",80.7,"ON"
"11/1/2019 4:00",81.9,"ON"
"11/1/2019 4:15",76.9,"ON"
"11/1/2019 4:30",75.6,"ON"
"11/1/2019 4:45",74.8,"ON"
"11/1/2019 5:00",74.6,"ON"
"11/1/2019 5:15",55.5,"ON"
"11/1/2019 5:30",76.8,"ON"
"11/1/2019 5:45",77,"ON"
"11/1/2019 6:00",78.2,"ON"
"11/1/2019 6:15",79.9,"ON"
"11/1/2019 6:30",77.2,"ON"
"11/1/2019 6:45",75.2,"ON"
"11/1/2019 7:00",79.4,"ON"
"11/1/2019 7:15",77.2,"ON"
"11/1/2019 7:30",78.9,"ON"
"11/1/2019 7:45",82,"ON"
"11/1/2019 8:00",80.8,"ON"
"11/1/2019 8:15",82.5,"ON"
"11/1/2019 8:30",80.9,"ON"
"11/1/2019 8:45",77,"ON"
"11/1/2019 9:00",81,"ON"
"11/1/2019 9:15",81.8,"ON"
"11/1/2019 9:30",79.4,"ON"
"11/1/2019 9:45",77.9,"ON"
"11/1/2019 10:00",77.6,"ON"
"11/1/2019 10:15",76.3,"ON"
"11/1/2019 10:30",71.1,"ON"
"11/1/2019 10:45",64.6,"ON"
"11/1/2019 11:00",69.4,"ON"
"11/1/2019 11:15",63.5,"ON"
"11/1/2019 11:30",50.7,"ON"
"11/1/2019 11:45",49.2,"ON"
"11/1/2019 12:00",60.8,"ON"
"11/1/2019 12:15",60.9,"ON"
"11/1/2019 12:30",60.2,"ON"
"11/1/2019 12:45",56.4,"ON"
"11/1/2019 13:00",59.5,"ON"
"11/1/2019 13:15",36.7,"ON"
"11/1/2019 13:30",49.3,"ON"
"11/1/2019 13:45",47.5,"ON"
"11/1/2019 14:00",42.4,"ON"
"11/1/2019 14:15",35.8,"ON"
"11/1/2019 14:30",28.5,"ON"
"11/1/2019 14:45",20.9,"ON"
"11/1/2019 15:00",20.2,"ON"
"11/1/2019 15:15",17.6,"ON"
"11/1/2019 15:30",9.1,"ON"
"11/1/2019 15:45",7.2,"ON"
"11/1/2019 16:00",13.7,"ON"
"11/1/2019 16:15",10,"ON"
"11/1/2019 16:30",0.1,"ON"
"11/1/2019 16:45",7.8,"ON"
"11/1/2019 17:00",5.6,"ON"
"11/1/2019 17:15",7.1,"ON"
"11/1/2019 17:30",4.6,"ON"
"11/1/2019 17:45",4.3,"ON"
"11/1/2019 18:00",1.9,"ON"
"11/1/2019 18:15",3.4,"ON"
"11/1/2019 18:30",1,"ON"
"11/1/2019 18:45",0.1,"ON"
"11/1/2019 19:00",0.1,"ON"
"11/1/2019 19:15",0.1,"ON"
"11/1/2019 19:30",1,"ON"
"11/1/2019 19:45",2.2,"ON"
"11/1/2019 20:00",6.1,"ON"
"11/1/2019 20:15",22.9,"ON"
"11/1/2019 20:30",35.1,"ON"
"11/1/2019 20:45",62.8,"ON"
"11/1/2019 21:00",72.1,"ON"
"11/1/2019 21:15",61.8,"ON"
"11/1/2019 21:30",65.4,"ON"
"11/1/2019 21:45",62.1,"ON"
"11/1/2019 22:00",67,"ON"
"11/1/2019 22:15",67.7,"ON"
"11/1/2019 22:30",71.6,"ON"
"11/1/2019 22:45",65.8,"ON"
"11/1/2019 23:00",62.5,"ON"
"11/1/2019 23:15",58,"ON"
"11/1/2019 23:30",63.2,"ON"
"11/1/2019 23:45",56.5,"ON"
"11/2/2019 0:00",57,"ON"
"11/2/2019 0:15",53.8,"ON"
"11/2/2019 0:30",70.3,"ON"
"11/2/2019 0:45",69.3,"ON"
"11/2/2019 1:00",73.7,"ON"
"11/2/2019 1:15",75.6,"ON"
"11/2/2019 1:30",81.8,"ON"
"11/2/2019 1:45",77.8,"ON"
"11/2/2019 2:00",82.3,"ON"
"11/2/2019 2:15",80.1,"ON"
