"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",65.4,"ON"
"11/1/2019 0:15",71.8,"ON"
"11/1/2019 0:30",87.9,"ON"
"11/1/2019 0:45",89.4,"ON"
"11/1/2019 1:00",82.5,"ON"
"11/1/2019 1:15",83.5,"ON"
"11/1/2019 1:30",82.4,"ON"
"11/1/2019 1:45",103.7,"ON"
"11/1/2019 2:00",122.5,"ON"
"11/1/2019 2:15",125.1,"ON"
"11/1/2019 2:30",116.6,"ON"
"11/1/2019 2:45",115,"ON"
"11/1/2019 3:00",109.7,"ON"
"11/1/2019 3:15",102.2,"ON"
"11/1/2019 3:30",116.5,"ON"
"11/1/2019 3:45",120.3,"ON"
"11/1/2019 4:00",127,"ON"
"11/1/2019 4:15",134.4,"ON"
"11/1/2019 4:30",134.4,"ON"
"11/1/2019 4:45",132.6,"ON"
"11/1/2019 5:00",129.5,"ON"
"11/1/2019 5:15",125.2,"ON"
"11/1/2019 5:30",113.3,"ON"
"11/1/2019 5:45",96.9,"ON"
"11/1/2019 6:00",80.8,"ON"
"11/1/2019 6:15",97.5,"ON"
"11/1/2019 6:30",101.7,"ON"
"11/1/2019 6:45",116.1,"ON"
"11/1/2019 7:00",125.6,"ON"
"11/1/2019 7:15",121.6,"ON"
"11/1/2019 7:30",107.8,"ON"
"11/1/2019 7:45",100.9,"ON"
"11/1/2019 8:00",98.4,"ON"
"11/1/2019 8:15",100,"ON"
"11/1/2019 8:30",96.6,"ON"
"11/1/2019 8:45",88.5,"ON"
"11/1/2019 9:00",91.5,"ON"
"11/1/2019 9:15",94.2,"ON"
"11/1/2019 9:30",74.9,"ON"
"11/1/2019 9:45",66.6,"ON"
"11/1/2019 10:00",59.5,"ON"
"11/1/2019 10:15",60.7,"ON"
"11/1/2019 10:30",69.2,"ON"
"11/1/2019 10:45",68.8,"ON"
"11/1/2019 11:00",67.5,"ON"
"11/1/2019 11:15",64.3,"ON"
"11/1/2019 11:30",59.9,"ON"
"11/1/2019 11:45",70.2,"ON"
"11/1/2019 12:00",61,"ON"
"11/1/2019 12:15",70.6,"ON"
"11/1/2019 12:30",65.7,"ON"
"11/1/2019 12:45",59.9,"ON"
"11/1/2019 13:00",58.7,"ON"
"11/1/2019 13:15",62,"ON"
"11/1/2019 13:30",60.6,"ON"
"11/1/2019 13:45",46.1,"ON"
"11/1/2019 14:00",32.1,"ON"
"11/1/2019 14:15",36.3,"ON"
"11/1/2019 14:30",28.2,"ON"
"11/1/2019 14:45",32.5,"ON"
"11/1/2019 15:00",30.2,"ON"
"11/1/2019 15:15",18.2,"ON"
"11/1/2019 15:30",12.3,"ON"
"11/1/2019 15:45",17,"ON"
"11/1/2019 16:00",15.7,"ON"
"11/1/2019 16:15",14.8,"ON"
"11/1/2019 16:30",12.1,"ON"
"11/1/2019 16:45",15.2,"ON"
"11/1/2019 17:00",10.8,"ON"
"11/1/2019 17:15",8.7,"ON"
"11/1/2019 17:30",7.1,"ON"
"11/1/2019 17:45",7.2,"ON"
"11/1/2019 18:00",7.5,"ON"
"11/1/2019 18:15",3.6,"ON"
"11/1/2019 18:30",1.4,"ON"
"11/1/2019 18:45",2.8,"ON"
"11/1/2019 19:00",3.6,"ON"
"11/1/2019 19:15",9.6,"ON"
"11/1/2019 19:30",14.9,"ON"
"11/1/2019 19:45",19.2,"ON"
"11/1/2019 20:00",19.2,"ON"
"11/1/2019 20:15",16.8,"ON"
"11/1/2019 20:30",16.3,"ON"
"11/1/2019 20:45",41.3,"ON"
"11/1/2019 21:00",134.8,"ON"
"11/1/2019 21:15",154.1,"ON"
"11/1/2019 21:30",147.4,"ON"
"11/1/2019 21:45",146.3,"ON"
"11/1/2019 22:00",150,"ONREG"
"11/1/2019 22:15",145.4,"ONREG"
"11/1/2019 22:30",151.7,"ONREG"
"11/1/2019 22:45",161.6,"ONREG"
"11/1/2019 23:00",161.8,"ONREG"
"11/1/2019 23:15",156.5,"ONREG"
"11/1/2019 23:30",167.2,"ONREG"
"11/1/2019 23:45",159.7,"ONREG"
"11/2/2019 0:00",152,"ON"
"11/2/2019 0:15",152.5,"ON"
"11/2/2019 0:30",159.2,"ON"
"11/2/2019 0:45",166,"ON"
"11/2/2019 1:00",160.9,"ON"
"11/2/2019 1:15",161.9,"ON"
"11/2/2019 1:30",163.7,"ON"
"11/2/2019 1:45",163.6,"ON"
"11/2/2019 2:00",161.6,"ON"
"11/2/2019 2:15",164,"ON"
"11/2/2019 2:30",162,"ON"
"11/2/2019 2:45",160.9,"ON"
"11/2/2019 3:00",161.8,"ON"
"11/2/2019 3:15",162.6,"ON"
"11/2/2019 3:30",164.9,"ON"
"11/2/2019 3:45",161.5,"ON"
"11/2/2019 4:00",161.6,"ONREG"
"11/2/2019 4:15",162.5,"ONREG"
"11/2/2019 4:30",168.3,"ONREG"
"11/2/2019 4:45",168.2,"ONREG"
"11/2/2019 5:00",161.3,"ON"
"11/2/2019 5:15",152.5,"ON"
"11/2/2019 5:30",168.9,"ON"
"11/2/2019 5:45",160.2,"ON"
"11/2/2019 6:00",159.8,"ON"
"11/2/2019 6:15",157.2,"ON"
"11/2/2019 6:30",165.1,"ON"
"11/2/2019 6:45",165.7,"ON"
"11/2/2019 7:00",164,"ON"
"11/2/2019 7:15",156.3,"ON"
"11/2/2019 7:30",147.6,"ON"
"11/2/2019 7:45",149.9,"ON"
"11/2/2019 8:00",157.5,"ON"
"11/2/2019 8:15",153.2,"ON"
"11/2/2019 8:30",141.1,"ON"
"11/2/2019 8:45",114.2,"ON"
"11/2/2019 9:00",95.9,"ON"
"11/2/2019 9:15",74.7,"ON"
"11/2/2019 9:30",67.6,"ON"
"11/2/2019 9:45",80,"ON"
"11/2/2019 10:00",99.1,"ON"
"11/2/2019 10:15",116.6,"ON"
"11/2/2019 10:30",116.9,"ON"
"11/2/2019 10:45",120.4,"ON"
"11/2/2019 11:00",113.1,"ON"
"11/2/2019 11:15",98.9,"ON"
"11/2/2019 11:30",83.5,"ON"
"11/2/2019 11:45",72.8,"ON"
"11/2/2019 12:00",49.3,"ON"
"11/2/2019 12:15",40,"ON"
"11/2/2019 12:30",33.2,"ON"
"11/2/2019 12:45",24.1,"ON"
"11/2/2019 13:00",18.6,"ON"
"11/2/2019 13:15",12.4,"ON"
"11/2/2019 13:30",10.2,"ON"
"11/2/2019 13:45",6.3,"ON"
"11/2/2019 14:00",2.9,"ON"
"11/2/2019 14:15",3.3,"ON"
"11/2/2019 14:30",0,"ON"
"11/2/2019 14:45",0,"ON"
"11/2/2019 15:00",0,"ON"
"11/2/2019 15:15",0,"ON"
"11/2/2019 15:30",0,"ON"
"11/2/2019 15:45",0,"ON"
"11/2/2019 16:00",0,"ON"
"11/2/2019 16:15",0,"ON"
"11/2/2019 16:30",0,"ON"
"11/2/2019 16:45",0,"ON"
"11/2/2019 17:00",0,"ON"
"11/2/2019 17:15",0,"ON"
"11/2/2019 17:30",0,"ON"
"11/2/2019 17:45",0.7,"ON"
"11/2/2019 18:00",1.3,"ON"
"11/2/2019 18:15",2.1,"ON"
"11/2/2019 18:30",3.2,"ON"
"11/2/2019 18:45",5,"ON"
"11/2/2019 19:00",4.5,"ON"
"11/2/2019 19:15",4.2,"ON"
"11/2/2019 19:30",5.1,"ON"
"11/2/2019 19:45",6,"ON"
"11/2/2019 20:00",5.9,"ON"
"11/2/2019 20:15",5.4,"ON"
"11/2/2019 20:30",5.5,"ON"
"11/2/2019 20:45",7.4,"ON"
"11/2/2019 21:00",8.7,"ON"
"11/2/2019 21:15",12.8,"ON"
"11/2/2019 21:30",20.7,"ON"
"11/2/2019 21:45",14.8,"ON"
"11/2/2019 22:00",14.9,"ON"
"11/2/2019 22:15",19,"ON"
"11/2/2019 22:30",19.7,"ON"
"11/2/2019 22:45",18.2,"ON"
"11/2/2019 23:00",18.9,"ON"
"11/2/2019 23:15",26.5,"ON"
"11/2/2019 23:30",34,"ON"
"11/2/2019 23:45",46.5,"ON"
"11/3/2019 0:00",60.8,"ON"
"11/3/2019 0:15",66.2,"ON"
"11/3/2019 0:30",78,"ON"
"11/3/2019 0:45",82.5,"ON"
"11/3/2019 1:00",106.7,"ON"
"11/3/2019 1:15",94.1,"ON"
"11/3/2019 1:30",90.9,"ON"
"11/3/2019 1:45",106.3,"ON"
"11/3/2019 2:00",99.3,"ON"
"11/3/2019 2:15",103.8,"ON"
"11/3/2019 2:30",99.7,"ON"
"11/3/2019 2:45",106.6,"ON"
"11/3/2019 3:00",110.9,"ON"
"11/3/2019 3:15",106.5,"ON"
"11/3/2019 3:30",97.3,"ON"
"11/3/2019 3:45",92.3,"ON"
"11/3/2019 4:00",87.7,"ON"
"11/3/2019 4:15",89.2,"ON"
"11/3/2019 4:30",81.6,"ON"
"11/3/2019 4:45",93.4,"ON"
"11/3/2019 5:00",98.2,"ON"
"11/3/2019 5:15",99,"ON"
"11/3/2019 5:30",110.4,"ON"
"11/3/2019 5:45",110.7,"ON"
"11/3/2019 6:00",105.7,"ON"
"11/3/2019 6:15",87.3,"ON"
"11/3/2019 6:30",75.9,"ON"
"11/3/2019 6:45",74.2,"ON"
"11/3/2019 7:00",86.6,"ON"
"11/3/2019 7:15",102.3,"ON"
"11/3/2019 7:30",105.2,"ON"
"11/3/2019 7:45",105.5,"ON"
"11/3/2019 8:00",100.4,"ON"
"11/3/2019 8:15",83.9,"ON"
"11/3/2019 8:30",84.6,"ON"
"11/3/2019 8:45",99,"ON"
"11/3/2019 9:00",108.4,"ON"
"11/3/2019 9:15",118.7,"ON"
"11/3/2019 9:30",119.8,"ON"
"11/3/2019 9:45",120.6,"ON"
"11/3/2019 10:00",112,"ON"
"11/3/2019 10:15",130.1,"ON"
"11/3/2019 10:30",133.2,"ON"
"11/3/2019 10:45",133.7,"ON"
"11/3/2019 11:00",121,"ON"
"11/3/2019 11:15",122.7,"ON"
"11/3/2019 11:30",120.6,"ON"
"11/3/2019 11:45",106.9,"ON"
"11/3/2019 12:00",116,"ON"
"11/3/2019 12:15",109.5,"ON"
"11/3/2019 12:30",103.7,"ON"
"11/3/2019 12:45",120.2,"ON"
"11/3/2019 13:00",121.1,"ON"
"11/3/2019 13:15",109.6,"ON"
"11/3/2019 13:30",100.6,"ON"
"11/3/2019 13:45",93.9,"ON"
"11/3/2019 14:00",82.3,"ON"
"11/3/2019 14:15",78.3,"ON"
"11/3/2019 14:30",81.5,"ON"
"11/3/2019 14:45",79.2,"ON"
"11/3/2019 15:00",84.8,"ON"
"11/3/2019 15:15",81.7,"ON"
"11/3/2019 15:30",80.3,"ON"
"11/3/2019 15:45",84.1,"ON"
"11/3/2019 16:00",80.7,"ON"
"11/3/2019 16:15",86.9,"ON"
"11/3/2019 16:30",78.7,"ON"
"11/3/2019 16:45",67.6,"ON"
"11/3/2019 17:00",69.7,"ON"
"11/3/2019 17:15",78.4,"ON"
"11/3/2019 17:30",75.6,"ON"
"11/3/2019 17:45",93.8,"ON"
"11/3/2019 18:00",94.6,"ON"
"11/3/2019 18:15",100.5,"ON"
"11/3/2019 18:30",114.9,"ON"
"11/3/2019 18:45",113.8,"ON"
"11/3/2019 19:00",112,"ON"
"11/3/2019 19:15",124.3,"ON"
"11/3/2019 19:30",133.7,"ON"
"11/3/2019 19:45",125.4,"ON"
"11/3/2019 20:00",122.7,"ON"
"11/3/2019 20:15",140,"ON"
"11/3/2019 20:30",141.7,"ON"
"11/3/2019 20:45",144.6,"ON"
"11/3/2019 21:00",137.9,"ON"
"11/3/2019 21:15",136.8,"ON"
"11/3/2019 21:30",130.3,"ON"
"11/3/2019 21:45",123.5,"ON"
"11/3/2019 22:00",122.5,"ON"
"11/3/2019 22:15",115.8,"ON"
"11/3/2019 22:30",116.6,"ON"
"11/3/2019 22:45",114.6,"ON"
"11/3/2019 23:00",107.6,"ON"
"11/3/2019 23:15",122.7,"ON"
"11/3/2019 23:30",98,"ON"
"11/3/2019 23:45",94.8,"ON"
"11/4/2019 0:00",89.5,"ON"
"11/4/2019 0:15",83.6,"ON"
"11/4/2019 0:30",91.4,"ON"
"11/4/2019 0:45",90.7,"ON"
"11/4/2019 1:00",87.2,"ON"
"11/4/2019 1:15",84.1,"ON"
"11/4/2019 1:30",86.2,"ON"
"11/4/2019 1:45",89.1,"ON"
"11/4/2019 2:00",90.3,"ON"
"11/4/2019 2:15",90.9,"ON"
"11/4/2019 2:30",105.1,"ON"
"11/4/2019 2:45",82.3,"ON"
"11/4/2019 3:00",80.5,"ON"
"11/4/2019 3:15",103.3,"ON"
"11/4/2019 3:30",82.4,"ON"
"11/4/2019 3:45",83.8,"ON"
"11/4/2019 4:00",77.4,"ON"
"11/4/2019 4:15",69.6,"ON"
"11/4/2019 4:30",73.7,"ON"
"11/4/2019 4:45",70.9,"ON"
"11/4/2019 5:00",75.7,"ON"
"11/4/2019 5:15",79.9,"ON"
"11/4/2019 5:30",67.7,"ON"
"11/4/2019 5:45",52.1,"ON"
"11/4/2019 6:00",50,"ON"
"11/4/2019 6:15",45.1,"ON"
"11/4/2019 6:30",49.5,"ON"
"11/4/2019 6:45",43.7,"ON"
"11/4/2019 7:00",36.8,"ON"
"11/4/2019 7:15",43.8,"ON"
"11/4/2019 7:30",35.7,"ON"
"11/4/2019 7:45",27.5,"ON"
"11/4/2019 8:00",28.3,"ON"
"11/4/2019 8:15",35.4,"ON"
"11/4/2019 8:30",40.6,"ON"
"11/4/2019 8:45",43,"ON"
"11/4/2019 9:00",29.2,"ON"
"11/4/2019 9:15",26.3,"ON"
"11/4/2019 9:30",24.6,"ON"
"11/4/2019 9:45",24.2,"ON"
"11/4/2019 10:00",19.7,"ON"
"11/4/2019 10:15",14.7,"ON"
"11/4/2019 10:30",9,"ON"
"11/4/2019 10:45",4.8,"ON"
"11/4/2019 11:00",3.6,"ON"
"11/4/2019 11:15",3.5,"ON"
"11/4/2019 11:30",1.9,"ON"
"11/4/2019 11:45",2.1,"ON"
"11/4/2019 12:00",0.7,"ON"
"11/4/2019 12:15",0,"ON"
"11/4/2019 12:30",1.1,"ON"
"11/4/2019 12:45",0.4,"ON"
"11/4/2019 13:00",1,"ON"
"11/4/2019 13:15",1.1,"ON"
"11/4/2019 13:30",3.1,"ON"
