"Interval.Time","Interval.Value"
"11/01/2019 00:14:59",4.4299999999
"11/01/2019 00:29:59",3.14
"11/01/2019 00:44:59",3.145
"11/01/2019 00:59:59",4.9199999999
"11/01/2019 01:14:59",7.315
"11/01/2019 01:29:59",9.005
"11/01/2019 01:44:59",10.19
"11/01/2019 01:59:59",11.34
"11/01/2019 02:14:59",13.13
"11/01/2019 02:29:59",16.46
"11/01/2019 02:44:59",18.62
"11/01/2019 02:59:59",17.6999999999
"11/01/2019 03:14:59",19.09
"11/01/2019 03:29:59",17.535
"11/01/2019 03:44:59",17.745
"11/01/2019 03:59:59",19.565
"11/01/2019 04:14:59",18.16
"11/01/2019 04:29:59",19.4499999999
"11/01/2019 04:44:59",20.675
"11/01/2019 04:59:59",20.405
"11/01/2019 05:14:59",20.285
"11/01/2019 05:29:59",23.91
"11/01/2019 05:44:59",24.77
"11/01/2019 05:59:59",23.92
"11/01/2019 06:14:59",22.2399999999
"11/01/2019 06:29:59",22.295
"11/01/2019 06:44:59",21.9699999999
"11/01/2019 06:59:59",24.295
"11/01/2019 07:14:59",25.4149999999
"11/01/2019 07:29:59",25.12
"11/01/2019 07:44:59",25.425
"11/01/2019 07:59:59",27.2549999999
"11/01/2019 08:14:59",28.055
"11/01/2019 08:29:59",27.55
"11/01/2019 08:44:59",28.2049999999
"11/01/2019 08:59:59",27.1099999999
"11/01/2019 09:14:59",25.0799999999
"11/01/2019 09:29:59",22.0049999999
"11/01/2019 09:44:59",20.71
"11/01/2019 09:59:59",21.225
"11/01/2019 10:14:59",19.4349999999
"11/01/2019 10:29:59",18.725
"11/01/2019 10:44:59",18.3599999999
"11/01/2019 10:59:59",16.96
"11/01/2019 11:14:59",16.3799999999
"11/01/2019 11:29:59",19.0049999999
"11/01/2019 11:44:59",21.645
"11/01/2019 11:59:59",23.405
"11/01/2019 12:14:59",24.7399999999
"11/01/2019 12:29:59",23.1299999999
"11/01/2019 12:44:59",23.03
"11/01/2019 12:59:59",23.8799999999
