"SCED.Time.Stamp","HSL","Telemetered.Resource.Status"
"11/1/2019 0:00",15.3,"ON"
"11/1/2019 0:15",18.9,"ON"
"11/1/2019 0:30",9.2,"ON"
"11/1/2019 0:45",17,"ON"
"11/1/2019 1:00",22.9,"ON"
"11/1/2019 1:15",31.3,"ON"
"11/1/2019 1:30",41,"ON"
"11/1/2019 1:45",41,"ON"
"11/1/2019 2:00",48.9,"ON"
"11/1/2019 2:15",57.3,"ON"
"11/1/2019 2:30",72.7,"ON"
"11/1/2019 2:45",69.1,"ON"
"11/1/2019 3:00",73.5,"ON"
"11/1/2019 3:15",78.7,"ON"
"11/1/2019 3:30",71.9,"ON"
"11/1/2019 3:45",74.8,"ON"
"11/1/2019 4:00",76,"ON"
"11/1/2019 4:15",71.1,"ON"
"11/1/2019 4:30",82.4,"ON"
"11/1/2019 4:45",82.7,"ON"
"11/1/2019 5:00",83.5,"ON"
"11/1/2019 5:15",85,"ON"
"11/1/2019 5:30",99.8,"ON"
"11/1/2019 5:45",97,"ON"
"11/1/2019 6:00",92.5,"ON"
"11/1/2019 6:15",87.2,"ON"
"11/1/2019 6:30",85.5,"ON"
"11/1/2019 6:45",90.8,"ON"
"11/1/2019 7:00",101.1,"ON"
"11/1/2019 7:15",101.4,"ON"
"11/1/2019 7:30",98.3,"ON"
"11/1/2019 7:45",104.6,"ON"
"11/1/2019 8:00",113,"ON"
"11/1/2019 8:15",111.6,"ON"
"11/1/2019 8:30",111.2,"ON"
"11/1/2019 8:45",114.2,"ON"
"11/1/2019 9:00",104.3,"ON"
"11/1/2019 9:15",93.6,"ON"
"11/1/2019 9:30",82.4,"ON"
"11/1/2019 9:45",84.8,"ON"
"11/1/2019 10:00",79.6,"ON"
"11/1/2019 10:15",78.4,"ON"
"11/1/2019 10:30",74.5,"ON"
"11/1/2019 10:45",68.9,"ON"
"11/1/2019 11:00",62.2,"ON"
"11/1/2019 11:15",66.5,"ON"
"11/1/2019 11:30",81.2,"ON"
"11/1/2019 11:45",88.2,"ON"
"11/1/2019 12:00",96.6,"ON"
"11/1/2019 12:15",92.4,"ON"
"11/1/2019 12:30",93.1,"ON"
"11/1/2019 12:45",94,"ON"
"11/1/2019 13:00",88.5,"ON"
"11/1/2019 13:15",92.9,"ON"
"11/1/2019 13:30",74.1,"ON"
"11/1/2019 13:45",67.8,"ON"
"11/1/2019 14:00",81.3,"ON"
"11/1/2019 14:15",100.8,"ON"
"11/1/2019 14:30",104.7,"ON"
"11/1/2019 14:45",111,"ON"
"11/1/2019 15:00",103.8,"ON"
"11/1/2019 15:15",97.2,"ON"
"11/1/2019 15:30",92.9,"ON"
"11/1/2019 15:45",86.1,"ON"
"11/1/2019 16:00",81.1,"ON"
"11/1/2019 16:15",62.3,"ON"
"11/1/2019 16:30",64.5,"ON"
"11/1/2019 16:45",70,"ON"
"11/1/2019 17:00",59.8,"ON"
"11/1/2019 17:15",44.8,"ON"
"11/1/2019 17:30",28.6,"ON"
"11/1/2019 17:45",18.5,"ON"
"11/1/2019 18:00",16.8,"ON"
"11/1/2019 18:15",15.9,"ON"
"11/1/2019 18:30",14.5,"ON"
"11/1/2019 18:45",16.9,"ON"
"11/1/2019 19:00",23.5,"ON"
"11/1/2019 19:15",25.7,"ON"
"11/1/2019 19:30",27.7,"ON"
"11/1/2019 19:45",28.8,"ON"
"11/1/2019 20:00",27.2,"ON"
"11/1/2019 20:15",21.5,"ON"
"11/1/2019 20:30",18.4,"ON"
"11/1/2019 20:45",18.9,"ON"
"11/1/2019 21:00",16.5,"ON"
"11/1/2019 21:15",13.7,"ON"
"11/1/2019 21:30",11.2,"ON"
"11/1/2019 21:45",11.2,"ON"
"11/1/2019 22:00",10.2,"ON"
"11/1/2019 22:15",10.4,"ON"
"11/1/2019 22:30",9.6,"ON"
"11/1/2019 22:45",7.7,"ON"
"11/1/2019 23:00",7.4,"ON"
"11/1/2019 23:15",5.7,"ON"
"11/1/2019 23:30",2.9,"ON"
"11/1/2019 23:45",1.3,"ON"
"11/2/2019 0:00",0,"ON"
"11/2/2019 0:15",0,"ON"
"11/2/2019 0:30",0.5,"ON"
"11/2/2019 0:45",0.4,"ON"
"11/2/2019 1:00",0.9,"ON"
"11/2/2019 1:15",8.2,"ON"
"11/2/2019 1:30",12.9,"ON"
"11/2/2019 1:45",14.6,"ON"
"11/2/2019 2:00",12.5,"ON"
"11/2/2019 2:15",9.8,"ON"
"11/2/2019 2:30",11.5,"ON"
"11/2/2019 2:45",33.1,"ON"
"11/2/2019 3:00",25.2,"ON"
"11/2/2019 3:15",23,"ON"
"11/2/2019 3:30",26.4,"ON"
"11/2/2019 3:45",62.3,"ON"
"11/2/2019 4:00",66.1,"ON"
"11/2/2019 4:15",50.9,"ON"
"11/2/2019 4:30",59.8,"ON"
"11/2/2019 4:45",77.2,"ON"
"11/2/2019 5:00",95.5,"ON"
"11/2/2019 5:15",93.3,"ON"
"11/2/2019 5:30",81,"ON"
"11/2/2019 5:45",69.2,"ON"
"11/2/2019 6:00",61.3,"ON"
"11/2/2019 6:15",67.3,"ON"
"11/2/2019 6:30",59.5,"ON"
"11/2/2019 6:45",52.2,"ON"
"11/2/2019 7:00",52,"ON"
"11/2/2019 7:15",52.5,"ON"
"11/2/2019 7:30",54.6,"ON"
"11/2/2019 7:45",60,"ON"
"11/2/2019 8:00",56.9,"ON"
"11/2/2019 8:15",52.6,"ON"
"11/2/2019 8:30",50.8,"ON"
"11/2/2019 8:45",46.8,"ON"
"11/2/2019 9:00",42.1,"ON"
"11/2/2019 9:15",36.3,"ON"
"11/2/2019 9:30",30,"ON"
"11/2/2019 9:45",17.7,"ON"
"11/2/2019 10:00",16.2,"ON"
"11/2/2019 10:15",14.7,"ON"
"11/2/2019 10:30",11,"ON"
"11/2/2019 10:45",11.1,"ON"
"11/2/2019 11:00",20.3,"ON"
"11/2/2019 11:15",15,"ON"
"11/2/2019 11:30",13.4,"ON"
"11/2/2019 11:45",15.3,"ON"
"11/2/2019 12:00",15.7,"ON"
"11/2/2019 12:15",15.6,"ON"
"11/2/2019 12:30",11.7,"ON"
"11/2/2019 12:45",11.2,"ON"
"11/2/2019 13:00",9.1,"ON"
"11/2/2019 13:15",7.6,"ON"
"11/2/2019 13:30",4.8,"ON"
"11/2/2019 13:45",3.2,"ON"
"11/2/2019 14:00",4.8,"ON"
"11/2/2019 14:15",2.5,"ON"
"11/2/2019 14:30",2.4,"ON"
"11/2/2019 14:45",1.8,"ON"
"11/2/2019 15:00",0.8,"ON"
"11/2/2019 15:15",0,"ON"
"11/2/2019 15:30",0.9,"ON"
"11/2/2019 15:45",0,"ON"
"11/2/2019 16:00",0,"ON"
"11/2/2019 16:15",0,"ON"
"11/2/2019 16:30",0,"ON"
"11/2/2019 16:45",0,"ON"
"11/2/2019 17:00",0,"ON"
"11/2/2019 17:15",0,"ON"
"11/2/2019 17:30",0,"ON"
"11/2/2019 17:45",0,"ON"
"11/2/2019 18:00",0,"ON"
"11/2/2019 18:15",0,"ON"
"11/2/2019 18:30",0,"ON"
"11/2/2019 18:45",0,"ON"
"11/2/2019 19:00",0,"ON"
"11/2/2019 19:15",0,"ON"
"11/2/2019 19:30",0,"ON"
"11/2/2019 19:45",0,"ON"
"11/2/2019 20:00",0,"ON"
"11/2/2019 20:15",0.7,"ON"
"11/2/2019 20:30",1,"ON"
"11/2/2019 20:45",1.7,"ON"
"11/2/2019 21:00",2,"ON"
"11/2/2019 21:15",5.4,"ON"
"11/2/2019 21:30",4.7,"ON"
"11/2/2019 21:45",9.6,"ON"
"11/2/2019 22:00",11,"ON"
"11/2/2019 22:15",9.3,"ON"
"11/2/2019 22:30",10.3,"ON"
"11/2/2019 22:45",9.9,"ON"
"11/2/2019 23:00",13.7,"ON"
"11/2/2019 23:15",12.1,"ON"
"11/2/2019 23:30",15.3,"ON"
"11/2/2019 23:45",12.4,"ON"
"11/3/2019 0:00",16.6,"ON"
"11/3/2019 0:15",19.7,"ON"
"11/3/2019 0:30",20.8,"ON"
"11/3/2019 0:45",24.2,"ON"
"11/3/2019 1:00",32.9,"ON"
"11/3/2019 1:15",28.6,"ON"
"11/3/2019 1:30",38.7,"ON"
"11/3/2019 1:45",27,"ON"
"11/3/2019 2:00",51.5,"ON"
"11/3/2019 2:15",46.8,"ON"
"11/3/2019 2:30",48.5,"ON"
"11/3/2019 2:45",52.1,"ON"
"11/3/2019 3:00",51.5,"ON"
"11/3/2019 3:15",54.1,"ON"
"11/3/2019 3:30",65.9,"ON"
"11/3/2019 3:45",73.2,"ON"
"11/3/2019 4:00",70.4,"ON"
"11/3/2019 4:15",78.7,"ON"
"11/3/2019 4:30",88.3,"ON"
"11/3/2019 4:45",98.8,"ON"
"11/3/2019 5:00",90.7,"ON"
"11/3/2019 5:15",90.8,"ON"
"11/3/2019 5:30",97.5,"ON"
"11/3/2019 5:45",107,"ON"
"11/3/2019 6:00",110.8,"ON"
"11/3/2019 6:15",113.3,"ON"
"11/3/2019 6:30",114.5,"ON"
"11/3/2019 6:45",116.3,"ON"
"11/3/2019 7:00",118.4,"ON"
"11/3/2019 7:15",119,"ON"
"11/3/2019 7:30",119,"ON"
"11/3/2019 7:45",116.1,"ON"
"11/3/2019 8:00",110.6,"ON"
"11/3/2019 8:15",102.1,"ON"
"11/3/2019 8:30",75.2,"ON"
"11/3/2019 8:45",56.4,"ON"
"11/3/2019 9:00",57.8,"ON"
"11/3/2019 9:15",54.4,"ON"
"11/3/2019 9:30",62.6,"ON"
"11/3/2019 9:45",70.4,"ON"
"11/3/2019 10:00",80.1,"ON"
"11/3/2019 10:15",79,"ON"
"11/3/2019 10:30",79.1,"ON"
"11/3/2019 10:45",82.2,"ON"
"11/3/2019 11:00",81.7,"ON"
"11/3/2019 11:15",86.2,"ON"
"11/3/2019 11:30",82.2,"ON"
"11/3/2019 11:45",77.8,"ON"
"11/3/2019 12:00",79.7,"ON"
"11/3/2019 12:15",84.7,"ON"
"11/3/2019 12:30",90.1,"ON"
"11/3/2019 12:45",92.9,"ON"
"11/3/2019 13:00",95.2,"ON"
"11/3/2019 13:15",93.8,"ON"
"11/3/2019 13:30",106.6,"ON"
"11/3/2019 13:45",111.1,"ON"
"11/3/2019 14:00",111.6,"ON"
"11/3/2019 14:15",107.6,"ON"
"11/3/2019 14:30",115.8,"ON"
"11/3/2019 14:45",116.7,"ON"
"11/3/2019 15:00",116.8,"ON"
"11/3/2019 15:15",116.7,"ON"
"11/3/2019 15:30",116,"ON"
"11/3/2019 15:45",110.4,"ON"
"11/3/2019 16:00",106.2,"ON"
"11/3/2019 16:15",109.4,"ON"
"11/3/2019 16:30",99,"ON"
"11/3/2019 16:45",105.6,"ON"
"11/3/2019 17:00",102.9,"ON"
"11/3/2019 17:15",103.4,"ON"
"11/3/2019 17:30",106.1,"ON"
"11/3/2019 17:45",105,"ON"
"11/3/2019 18:00",114.4,"ON"
"11/3/2019 18:15",116.8,"ON"
"11/3/2019 18:30",111,"ON"
"11/3/2019 18:45",112.5,"ON"
"11/3/2019 19:00",112.8,"ON"
"11/3/2019 19:15",114,"ON"
"11/3/2019 19:30",114.5,"ON"
"11/3/2019 19:45",114.3,"ON"
"11/3/2019 20:00",117,"ON"
"11/3/2019 20:15",117.3,"ON"
"11/3/2019 20:30",116.5,"ON"
"11/3/2019 20:45",109.3,"ON"
"11/3/2019 21:00",118.2,"ON"
"11/3/2019 21:15",120.7,"ON"
"11/3/2019 21:30",120.9,"ON"
"11/3/2019 21:45",121.2,"ON"
"11/3/2019 22:00",121.3,"ON"
"11/3/2019 22:15",120.6,"ON"
"11/3/2019 22:30",120.6,"ON"
"11/3/2019 22:45",118.5,"ON"
"11/3/2019 23:00",114.8,"ON"
"11/3/2019 23:15",116.1,"ON"
"11/3/2019 23:30",117.9,"ON"
"11/3/2019 23:45",118.9,"ON"
"11/4/2019 0:00",119.3,"ON"
"11/4/2019 0:15",120.5,"ON"
"11/4/2019 0:30",119.8,"ON"
"11/4/2019 0:45",119.4,"ON"
"11/4/2019 1:00",118.8,"ON"
"11/4/2019 1:15",118.8,"ON"
"11/4/2019 1:30",118,"ON"
"11/4/2019 1:45",114.9,"ON"
"11/4/2019 2:00",114.3,"ON"
"11/4/2019 2:15",114.2,"ON"
"11/4/2019 2:30",113.6,"ON"
"11/4/2019 2:45",116.7,"ON"
"11/4/2019 3:00",116.4,"ON"
"11/4/2019 3:15",117.5,"ON"
"11/4/2019 3:30",117.1,"ON"
"11/4/2019 3:45",117.3,"ON"
"11/4/2019 4:00",118.1,"ON"
"11/4/2019 4:15",117.2,"ON"
"11/4/2019 4:30",117.2,"ON"
"11/4/2019 4:45",116.7,"ON"
"11/4/2019 5:00",117.4,"ON"
"11/4/2019 5:15",116.1,"ON"
"11/4/2019 5:30",116.5,"ON"
"11/4/2019 5:45",116.6,"ON"
"11/4/2019 6:00",117.9,"ON"
"11/4/2019 6:15",112.8,"ON"
"11/4/2019 6:30",115.9,"ON"
"11/4/2019 6:45",114.2,"ON"
"11/4/2019 7:00",115.1,"ON"
"11/4/2019 7:15",112.7,"ON"
"11/4/2019 7:30",105.3,"ON"
"11/4/2019 7:45",105.8,"ON"
"11/4/2019 8:00",101.5,"ON"
"11/4/2019 8:15",103.1,"ON"
"11/4/2019 8:30",92.8,"ON"
"11/4/2019 8:45",91.8,"ON"
"11/4/2019 9:00",97.5,"ON"
"11/4/2019 9:15",84.2,"ON"
"11/4/2019 9:30",92.7,"ON"
"11/4/2019 9:45",82.3,"ON"
"11/4/2019 10:00",82.7,"ON"
"11/4/2019 10:15",70.9,"ON"
"11/4/2019 10:30",70.2,"ON"
"11/4/2019 10:45",74.8,"ON"
"11/4/2019 11:00",76.2,"ON"
"11/4/2019 11:15",62.3,"ON"
"11/4/2019 11:30",57.2,"ON"
"11/4/2019 11:45",49.5,"ON"
"11/4/2019 12:00",37,"ON"
"11/4/2019 12:15",28.1,"ON"
"11/4/2019 12:30",32.7,"ON"
"11/4/2019 12:45",37,"ON"
"11/4/2019 13:00",27.3,"ON"
"11/4/2019 13:15",28.4,"ON"
"11/4/2019 13:30",22.5,"ON"
"11/4/2019 13:45",18.9,"ON"
"11/4/2019 14:00",15.7,"ON"
"11/4/2019 14:15",15.5,"ON"
"11/4/2019 14:30",10.6,"ON"
"11/4/2019 14:45",9.6,"ON"
"11/4/2019 15:00",8.4,"ON"
"11/4/2019 15:15",8.3,"ON"
"11/4/2019 15:30",10.2,"ON"
"11/4/2019 15:45",9.6,"ON"
"11/4/2019 16:00",8.9,"ON"
"11/4/2019 16:15",4,"ON"
"11/4/2019 16:30",0.8,"ON"
"11/4/2019 16:45",3.1,"ON"
"11/4/2019 17:00",4.5,"ON"
"11/4/2019 17:15",6,"ON"
"11/4/2019 17:30",9.1,"ON"
"11/4/2019 17:45",13.7,"ON"
"11/4/2019 18:00",8,"ON"
"11/4/2019 18:15",8.1,"ON"
"11/4/2019 18:30",11.5,"ON"
"11/4/2019 18:45",10.5,"ON"
"11/4/2019 19:00",10.6,"ON"
"11/4/2019 19:15",10.9,"ON"
"11/4/2019 19:30",11.5,"ON"
"11/4/2019 19:45",8.5,"ON"
"11/4/2019 20:00",6.9,"ON"
"11/4/2019 20:15",5.6,"ON"
"11/4/2019 20:30",4.1,"ON"
"11/4/2019 20:45",3.2,"ON"
"11/4/2019 21:00",2.8,"ON"
"11/4/2019 21:15",13.4,"ON"
"11/4/2019 21:30",30.9,"ON"
"11/4/2019 21:45",40.4,"ON"
"11/4/2019 22:00",50.4,"ON"
"11/4/2019 22:15",49,"ON"
"11/4/2019 22:30",45.1,"ON"
"11/4/2019 22:45",43.8,"ON"
"11/4/2019 23:00",49.7,"ON"
"11/4/2019 23:15",50.5,"ON"
"11/4/2019 23:30",47.3,"ON"
"11/4/2019 23:45",43.9,"ON"
"11/5/2019 0:00",45.8,"ON"
"11/5/2019 0:15",52.7,"ON"
"11/5/2019 0:30",58.5,"ON"
"11/5/2019 0:45",58.8,"ON"
"11/5/2019 1:00",54.4,"ON"
"11/5/2019 1:15",50.2,"ON"
"11/5/2019 1:30",54.5,"ON"
"11/5/2019 1:45",50.2,"ON"
"11/5/2019 2:00",50.1,"ON"
"11/5/2019 2:15",43,"ON"
"11/5/2019 2:30",39,"ON"
"11/5/2019 2:45",32,"ON"
"11/5/2019 3:00",32.1,"ON"
"11/5/2019 3:15",35.7,"ON"
"11/5/2019 3:30",36.9,"ON"
"11/5/2019 3:45",36.9,"ON"
"11/5/2019 4:00",35.1,"ON"
"11/5/2019 4:15",40.3,"ON"
"11/5/2019 4:30",47.5,"ON"
"11/5/2019 4:45",44.4,"ON"
"11/5/2019 5:00",43.4,"ON"
"11/5/2019 5:15",55.8,"ON"
"11/5/2019 5:30",48.7,"ON"
"11/5/2019 5:45",47.5,"ON"
"11/5/2019 6:00",49.4,"ON"
"11/5/2019 6:15",47.2,"ON"
"11/5/2019 6:30",41.6,"ON"
"11/5/2019 6:45",36.1,"ON"
"11/5/2019 7:00",37.5,"ON"
"11/5/2019 7:15",27.9,"ON"
"11/5/2019 7:30",31.7,"ON"
"11/5/2019 7:45",31.5,"ON"
"11/5/2019 8:00",23.6,"ON"
"11/5/2019 8:15",21.9,"ON"
"11/5/2019 8:30",19.3,"ON"
"11/5/2019 8:45",22.6,"ON"
"11/5/2019 9:00",27,"ON"
"11/5/2019 9:15",22.9,"ON"
"11/5/2019 9:30",21,"ON"
"11/5/2019 9:45",20.9,"ON"
"11/5/2019 10:00",18.5,"ON"
"11/5/2019 10:15",16.9,"ON"
"11/5/2019 10:30",8.6,"ON"
"11/5/2019 10:45",6.1,"ON"
"11/5/2019 11:00",6.3,"ON"
"11/5/2019 11:15",4.1,"ON"
"11/5/2019 11:30",2.8,"ON"
"11/5/2019 11:45",4.6,"ON"
"11/5/2019 12:00",3.1,"ON"
"11/5/2019 12:15",5.8,"ON"
"11/5/2019 12:30",6.5,"ON"
"11/5/2019 12:45",4.9,"ON"
"11/5/2019 13:00",6.1,"ON"
"11/5/2019 13:15",5.3,"ON"
"11/5/2019 13:30",4.8,"ON"
"11/5/2019 13:45",5.4,"ON"
"11/5/2019 14:00",4.5,"ON"
"11/5/2019 14:15",3.7,"ON"
"11/5/2019 14:30",3.2,"ON"
"11/5/2019 14:45",4.4,"ON"
"11/5/2019 15:00",3.8,"ON"
"11/5/2019 15:15",1.5,"ON"
"11/5/2019 15:30",1.9,"ON"
"11/5/2019 15:45",1.3,"ON"
"11/5/2019 16:00",0.2,"ON"
"11/5/2019 16:15",0.8,"ON"
"11/5/2019 16:30",0.3,"ON"
"11/5/2019 16:45",0.1,"ON"
"11/5/2019 17:00",0,"ON"
"11/5/2019 17:15",0,"ON"
"11/5/2019 17:30",0,"ON"
"11/5/2019 17:45",0,"ON"
"11/5/2019 18:00",0,"ON"
"11/5/2019 18:15",0,"ON"
"11/5/2019 18:30",0,"ON"
"11/5/2019 18:45",0,"ON"
"11/5/2019 19:00",0,"ON"
"11/5/2019 19:15",0.1,"ON"
"11/5/2019 19:30",1.2,"ON"
"11/5/2019 19:45",2,"ON"
"11/5/2019 20:00",2.7,"ON"
"11/5/2019 20:15",2.5,"ON"
"11/5/2019 20:30",2.1,"ON"
"11/5/2019 20:45",0.8,"ON"
"11/5/2019 21:00",0.7,"ON"
"11/5/2019 21:15",1.7,"ON"
"11/5/2019 21:30",4.3,"ON"
"11/5/2019 21:45",5,"ON"
"11/5/2019 22:00",5.1,"ON"
"11/5/2019 22:15",7.7,"ON"
"11/5/2019 22:30",9.6,"ON"
"11/5/2019 22:45",11.7,"ON"
"11/5/2019 23:00",12.2,"ON"
"11/5/2019 23:15",13.4,"ON"
"11/5/2019 23:30",18.3,"ON"
"11/5/2019 23:45",17.2,"ON"
"11/6/2019 0:01",16.2,"ON"
