SCED.Time.Stamp,HSL,Status
2019-11-01 00:00:00,15.100000000000001,ON
2019-11-01 01:00:00,34.05,ON
2019-11-01 02:00:00,61.99999999999999,ON
2019-11-01 03:00:00,74.725,ON
2019-11-01 04:00:00,78.05,ON
2019-11-01 05:00:00,91.325,ON
2019-11-01 06:00:00,89.0,ON
2019-11-01 07:00:00,101.35,ON
2019-11-01 08:00:00,112.5,ON
2019-11-01 09:00:00,91.27499999999999,ON
2019-11-01 10:00:00,75.35,ON
2019-11-01 11:00:00,74.52499999999999,ON
2019-11-01 12:00:00,94.025,ON
2019-11-01 13:00:00,80.825,ON
2019-11-01 14:00:00,99.45,ON
2019-11-01 15:00:00,95.0,ON
2019-11-01 16:00:00,69.475,ON
2019-11-01 17:00:00,37.925,ON
2019-11-01 18:00:00,16.025,ON
2019-11-01 19:00:00,26.425,ON
2019-11-01 20:00:00,21.5,ON
2019-11-01 21:00:00,13.149999999999999,ON
2019-11-01 22:00:00,9.475000000000001,ON
2019-11-01 23:00:00,4.325,ON
2019-11-02 00:00:00,0.225,ON
2019-11-02 01:00:00,9.15,ON
2019-11-02 02:00:00,16.725,ON
2019-11-02 03:00:00,34.224999999999994,ON
2019-11-02 04:00:00,63.5,ON
2019-11-02 05:00:00,84.75,ON
2019-11-02 06:00:00,60.075,ON
2019-11-02 07:00:00,54.775,ON
2019-11-02 08:00:00,51.775000000000006,ON
2019-11-02 09:00:00,31.525000000000002,ON
2019-11-02 10:00:00,13.25,ON
2019-11-02 11:00:00,16.0,ON
2019-11-02 12:00:00,13.55,ON
2019-11-02 13:00:00,6.175,ON
2019-11-02 14:00:00,2.875,ON
2019-11-02 15:00:00,0.42500000000000004,ON
2019-11-02 16:00:00,0.0,ON
2019-11-02 17:00:00,0.0,ON
2019-11-02 18:00:00,0.0,ON
2019-11-02 19:00:00,0.0,ON
2019-11-02 20:00:00,0.85,ON
2019-11-02 21:00:00,5.425000000000001,ON
2019-11-02 22:00:00,10.125,ON
2019-11-02 23:00:00,13.374999999999998,ON
2019-11-03 00:00:00,20.325,ON
2019-11-03 01:00:00,31.8,ON
2019-11-03 02:00:00,49.725,ON
2019-11-03 03:00:00,61.175,ON
2019-11-03 04:00:00,84.05000000000001,ON
2019-11-03 05:00:00,96.5,ON
2019-11-03 06:00:00,113.72500000000001,ON
2019-11-03 07:00:00,118.125,ON
2019-11-03 08:00:00,86.07499999999999,ON
2019-11-03 09:00:00,61.3,ON
2019-11-03 10:00:00,80.1,ON
2019-11-03 11:00:00,81.97500000000001,ON
2019-11-03 12:00:00,86.85,ON
2019-11-03 13:00:00,101.67500000000001,ON
2019-11-03 14:00:00,112.925,ON
2019-11-03 15:00:00,114.975,ON
2019-11-03 16:00:00,105.05000000000001,ON
2019-11-03 17:00:00,104.35,ON
2019-11-03 18:00:00,113.675,ON
2019-11-03 19:00:00,113.9,ON
2019-11-03 20:00:00,115.025,ON
2019-11-03 21:00:00,120.25,ON
2019-11-03 22:00:00,120.25,ON
2019-11-03 23:00:00,116.92499999999998,ON
2019-11-04 00:00:00,119.75,ON
2019-11-04 01:00:00,117.625,ON
2019-11-04 02:00:00,114.7,ON
2019-11-04 03:00:00,117.075,ON
2019-11-04 04:00:00,117.3,ON
2019-11-04 05:00:00,116.65,ON
2019-11-04 06:00:00,115.2,ON
2019-11-04 07:00:00,109.72500000000001,ON
2019-11-04 08:00:00,97.3,ON
2019-11-04 09:00:00,89.175,ON
2019-11-04 10:00:00,74.65,ON
